,t0p,t1p,t2p,t3p,t4p,t5p,t6p,t7p,t8p,t9p,t0m,t1m,t2m,t3m,t4m,t5m,t6m,t7m,t8m,t9m
SPAC1071.06,1.0,0.9978288228434677,1.022405646828809,1.09213679344976,1.08056239215596,1.0071020637692933,0.9632985000853194,0.9585963603179204,0.9843820023412833,1.0064044663150347,0.75018233,1.3014199,1.2356528999999998,0.93803483,0.5257364000000001,0.16303115,0.45590028,0.54229367,0.5767654000000001,0.5757313000000001
SPAC1071.07c,1.0,1.0062410035650298,1.1066453611368332,1.051857502488302,0.9701370949879794,0.9255016378251867,0.9368532925106869,0.9358407557367346,0.921989545392103,0.8986444225000403,0.34583494,1.516665,0.88210225,0.594226,0.5435438,0.52265984,0.87848175,1.1144953000000002,0.73749197,0.48788420000000005
SPAC1071.08,1.0,1.0840455672302254,1.2373316378796735,1.13556651282183,1.0114136093445396,1.0443307649561004,1.0783337688652106,1.0913468177900632,1.0811944121809947,0.9706705631328933,0.18429059,1.6357881,0.74838924,0.42569146,0.4406788,0.45574063,0.46213844,0.56434053,0.5733482,0.41510699999999995
SPAC1071.10c,1.0,0.9211501578963199,0.8158636644749794,0.7283223083706404,0.6641419060010306,0.6274499601557326,0.6511530042224717,0.7400812778830549,0.7600247417980039,0.7313803815017313,0.73463935,0.48832109999999995,0.33369353,0.16498251,0.09298358,0.041274555,0.12663528,0.100707345,0.14857693,0.17948027
SPAC1071.12c,1.0,1.0838324223134999,1.1198953608612667,1.17917900272154,1.1364285468589266,1.0063990124837048,1.0003030598199911,0.9627723950592334,0.9190689380147927,0.7987972728065941,0.7183458,1.5422082000000001,0.8699020000000001,0.74408656,0.6402015,0.27010477,0.38257527,0.5105359,0.5369752,0.45498076
SPAC1093.02,1.0,0.9469960450911006,0.8224304301348759,0.7447665928303437,0.6833151310143214,0.6570404705734,0.658143928172617,0.6757197734566902,0.7011280375024862,0.6855231782351398,0.6742369,0.78675365,0.5533796,0.37505648,0.2442027,0.16947472,0.65005517,0.83650947,0.8134075,0.7541303
SPAC1093.04c,1.0,1.1618958906044334,1.3953805734658866,1.7387465276373135,2.1413448371519,2.1385972974242433,2.2425861114212635,2.22546041523254,2.3177077217376936,2.3262575494061832,0.86455584,1.2183716,1.4871674,1.6022723,1.6023835,1.2317232,1.1052577,0.96643054,1.0375302,1.0186769
SPAC1093.05,1.0,1.62531010599901,1.5486966938965232,1.3320166214904834,1.19576658824623,1.1068613397111866,0.8369017357739327,0.7868708433511576,0.746794534873871,0.6977180179782637,0.6671667,2.1372254,1.1395848999999998,0.8669950999999999,0.9268554,0.8843898000000001,0.9987947,0.9723969000000001,0.9949690000000001,1.0052108
SPAC1093.06c,1.0,1.1851818322191903,1.4553866536199767,1.8027294312232265,1.2049728065906333,1.27690354772518,1.2784107039750168,1.28873549699518,1.1544547104984768,1.3573514912760665,3.9519765,7.156809,3.267182,2.1553931,2.2528042999999998,4.2163115,2.2162585,1.7017258000000002,1.6996518,1.3905455
SPAC10F6.01c,1.0,0.9718060538319184,0.8928369567278494,0.7787640133460428,0.7152487112117126,0.6841288654726551,0.6787132126152704,0.7135668704519208,0.7128625187959187,0.7277788840393034,0.31336468,0.54499525,0.53625375,0.32329157,0.2523879,0.37005144,0.5012515999999999,0.33755666,0.3503863,0.36847988
