,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
SPAC10F6.03c,-1.7081605303570508,1.2834836155920215,1.7026414371244116,0.7848913776689788,-0.16753653227584528,-0.6909525175315739,-0.4367901311021351,-0.377264802336649,-0.1449306865983429,-0.24538123018382654
SPAC10F6.05c,-1.3335963346001452,-0.9348076359541968,-0.5516821852444921,-0.12361895763058237,0.5376434728489728,1.4713131372728574,1.4928451735210964,0.6261059216049712,-0.23683059511664142,-0.9473719967018377
SPAC10F6.06,-1.0103568533267058,-1.2606444994503831,-1.3372628857812465,-0.7750741120074118,0.1715101114855656,0.4825908611187141,0.6109753903127915,1.009406367849828,1.302222843112211,0.8066327766866365
SPAC10F6.08c,0.16911494293062554,0.44649161940074344,0.6002202536929213,1.0660578382286834,1.2322640609107711,0.5915465589423662,-0.08685573068962134,-1.3267821799775026,-1.4338306184837626,-1.2582267449552138
SPAC10F6.09c,-0.5361995270325889,-0.11207763597868703,1.2822528961918045,1.853112747901576,1.0063272365524987,-0.34225777197371804,-0.7141000241231227,-0.7904195157444993,-0.7960835649111525,-0.8505548408821109
SPAC10F6.10,-1.757706449739102,0.95241327993947,1.5084961112821877,1.1970591183292552,0.21042051986750643,-0.02086850481971901,-0.3824192076704067,-0.2722852349821979,-0.717317407299023,-0.7177922249079605
SPAC10F6.11c,-1.1717893619653477,-1.383119435242051,-0.9563038343819923,-0.5767037975005735,-0.17537921418648073,0.08554882801048064,0.8405499477016917,1.0745962220632563,1.0690610303867336,1.1935396151142827
SPAC10F6.12c,-0.0477437916684053,1.201059105221311,1.5477009837766524,1.1115412670276184,0.21137264773791298,-0.6282903012712668,-0.691216716709575,-0.3737516113211329,-0.8902337158803348,-1.4404378669127784
SPAC10F6.13c,2.105005163033427,1.378309794386135,0.45259670876381014,-0.16561952352238957,-0.5311224759014672,-0.742853033014349,-0.7476864788687438,-0.6933489861138432,-0.584398817613306,-0.47088235114926863
SPAC10F6.14c,0.7025500928083205,-0.439900997031251,0.7657766435235965,0.17839517799044136,-1.3827049298073681,-0.14806706447483395,-1.214479142578259,0.07788948871140154,-0.5372585337794005,1.997799264637339
SPAC10F6.16,-0.5721594326025696,-1.4687669578114753,-0.4219375631143926,0.41025293753378683,-1.0050457458530357,-0.8954542606574507,1.1186716555297846,1.407505456696722,0.9442212265493347,0.4827126837292803
SPAC10F6.17c,-1.2199218324552474,-1.2674019632833895,-1.1204709250599805,-0.7877724641258547,0.038366161294721035,0.5209836052212546,0.7666247576157247,0.9255803375715055,0.9891217347494017,1.1548905884718723
SPAC110.02,-0.5179477663456633,0.22172537018694796,1.2373752017458093,1.5263853689834692,0.9797742410441155,0.3362047162935309,-0.6767377481361386,-1.2528365639955763,-0.9623386758421804,-0.8916041439343121
SPAC110.03,-0.9218339975325637,-0.8999644641136657,-0.8383572252944467,-0.7028398325188588,-0.6164338405109282,-0.41311612611913556,0.3503509129658989,1.2774947114134372,1.4725790863004342,1.2921207754098283
SPAC110.04c,-2.14859309746557,-1.3609916191940492,-0.3969015162391342,0.15917139010996217,0.574031672034485,0.6777345233582949,0.5990136453188604,0.6491295081889932,0.6496837550360118,0.5977217388521493
SPAC1142.01,-1.0845502871093342,-0.8225198777549855,0.1315161613721728,0.9402758338854629,1.2618504614192394,1.1080026500727307,0.8311900525132131,-0.09302252980339648,-0.8683685534387935,-1.4043739111562996
SPAC1142.02c,-1.6847884226052785,-1.1327588896728458,-0.8610424717932987,-0.03624778340305095,1.102194687183708,0.471016299529634,0.4637459600147514,1.2586968028924337,0.846660293165777,-0.42747647531183863
