,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
SPAC1071.04c,-0.010046867142219857,-0.6774908689619784,0.41506061069672007,0.9190518754633794,2.1143505156659916,0.36626909392665324,-1.3593952144878028,-0.5715855471178604,-0.47724841617507635,-0.7189651818678023
SPAC1071.05,-1.2522891745545202,-0.011461219078717543,0.020919357084118247,1.1122755268271356,2.257780125580122,-0.2709050830353207,-0.7561925743792364,-0.5262436195440693,-0.3564209368683912,-0.2174624020311206
SPAC1071.06,0.1227440935788239,1.6707881181427369,1.4860942276963816,0.6502914814036277,-0.5075688598256223,-1.5261563536723504,-0.7036900862230331,-0.46107097165266797,-0.3642637898728034,-0.36716785957509457
SPAC1071.07c,-1.1892811923310722,2.1538982826726065,0.3419725097710375,-0.4800272007087461,-0.6247447789267425,-0.6843766835165496,0.33163456090657895,1.005545902218362,-0.07094661187376804,-0.7836747882117063
SPAC1071.08,-1.0305932858691165,2.6515338682528466,0.4003998384446419,-0.41821283579472,-0.3801932793009179,-0.34198475820344193,-0.3257549336494108,-0.06649090584062968,-0.043640445489257905,-0.4450632625499943
SPAC1071.10c,2.2680816561138886,1.1360478332242043,0.4254076789066003,-0.34995744704008835,-0.6808514184444271,-0.9184966812239744,-0.5261943331584737,-0.6453544009881422,-0.4253545052934762,-0.28332838209610983
SPAC1071.12c,0.14421581176735646,2.4578333064636473,0.5698245975909236,0.2165024856861787,-0.07523347926813137,-1.1145602761433007,-0.798714187722177,-0.43936783061162177,-0.3651194767268911,-0.5953809510359812
SPAC1093.02,0.3644818865092741,0.8277902263969669,-0.13317019663664778,-0.8674483258111382,-1.4062627474846172,-1.7139689010747337,0.26490918127283214,1.0326689343577893,0.9375423388168117,0.693457603653463
SPAC1093.04c,-1.3072147566448047,0.018489650303562245,1.0256346588504164,1.4569186502456877,1.457335303054066,0.06851646358008741,-0.4053343074452871,-0.9255027075643941,-0.6591009718290202,-0.7297419825503051
SPAC1093.05,-0.9854438191837199,2.708307281844774,0.20158037678607252,-0.4833438877206009,-0.3329355747512642,-0.43963699882081675,-0.15217689580720617,-0.2185054735808214,-0.16178956201380354,-0.13605544675261494
SPAC1093.06c,0.5432328059231956,2.3736928685519194,0.15210815795553884,-0.48289700363213234,-0.42725998945034943,0.6942093891471125,-0.4481333509620093,-0.742011910377057,-0.7431964884072324,-0.9197444787489846
SPAC10F6.01c,-0.755071246929259,1.5330493368972251,1.4466980142565247,-0.6570102641221053,-1.357419311148326,-0.19510136736443393,1.1009356224738582,-0.5160951592672607,-0.3893598869451162,-0.21062573785110333
SPAC10F6.02c,-0.2649880341159739,1.7016449121443438,1.6252027053149471,0.18806783667861196,-1.1195065611946908,-1.2749183659204522,-0.5887734666677455,-0.3255917340432676,-0.08107708097755599,0.13993978878178134
SPAC10F6.03c,-0.5659528179843477,1.9995033619174851,-0.09811046764783458,-0.19049552524953395,0.2274485027022278,1.3139173135815077,0.2033526944814051,-0.8482817199772598,-0.9397434967484974,-1.1016378450751527
