"","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10"
"SPAC1002.08c",1.1665907472808,1.23791101764433,1.36339018945234,1.26216374786878,1.03657144050147,1.00187006092525,1.17429269345568,1.13088075421418,1.26365700928308,1.07669581869239,1.02558286530087
"SPAC1002.09c",0.889275907730379,0.8049639647811,0.764457133625374,0.766947930608709,0.796896228356709,0.815632189117908,0.816297592664648,0.82860021718705,0.838242105124582,0.871832039873702,0.901312958747411
"SPAC1002.12c",0.946117965514792,0.87428000235649,0.824189998575725,0.853562336517507,0.98522278933051,1.01847140995826,1.0085997899263,1.04586829404818,1.11847311290139,1.14133518501759,1.20295512461868
"SPAC1002.13c",1.04389000945071,1.37747871143109,1.38732069443088,1.20138595734152,1.00578440227172,0.966215474829952,1.01398518805041,0.989819059659737,1.08385428540024,1.07432974003729,0.929498979126858
"SPAC1002.15c",0.720325385563699,0.780529301704025,0.871919384989008,1.08778376449914,1.29210002121706,1.36533747374207,1.25035096354861,1.06567413794765,1.02058545297061,0.984962480708644,0.990472732448687
"SPAC1002.17c",3.45579210716817,2.55165938969706,2.00773539693031,1.58243298761258,1.32747806238159,1.10190405942507,0.938068356880077,0.86792852511039,0.788873743665855,0.729058853305326,0.659504464409932
"SPAC1002.18",1.73580266787558,1.45082281488336,1.18365940221909,1.02373474691096,0.949195425494973,0.910914986594051,0.941523468951222,0.937982721883455,0.913080632257297,0.912695174831789,0.883223267132394
"SPAC1002.19",4.06861980272079,3.12373536557011,2.22837446000702,1.63531159171534,1.12421307015922,0.810429576022036,0.711439020345287,0.707154309635111,0.705069079921826,0.673381373932004,0.599929950789726
"SPAC1006.01",0.726924680840869,0.422053770359796,0.462388105168501,0.606903753356065,0.98217028465156,1.72011922820838,2.21574471984723,1.49812855771406,1.28554549495548,1.43460154876527,1.83201069260393
"SPAC1006.03c",1.08380081872384,1.20349382248131,1.38105014944965,1.51719211101704,1.48087941566423,1.17783779839579,0.601958673742588,0.42144452469854,0.400568672324236,0.538781736000501,0.499313185696616
"SPAC1006.04c",0.171802304930363,0.195119042865945,0.435120394949782,1.09685799584795,2.096331583009,2.40880370805524,1.33268878942417,1.10424778212281,1.0234846501741,0.893123196227149,0.876175376619577
"SPAC1006.05c",1.06580961158658,0.983232455020675,0.90068481812358,0.91886151391019,0.967539548912311,1.00234518499892,0.914149290001448,0.852618026031571,0.937629829329286,1.01947652118486,1.09632454443136
"SPAC1006.06",0.427993677503108,0.434399131142647,0.519669144999408,0.781160373337125,1.47249354698431,2.58369017378322,2.12971906136707,1.23512975573084,0.853361373756497,0.865858504828938,0.747404198705652
"SPAC1006.07",0.920171404954484,0.965392585024885,1.04305934963077,1.01093730372893,0.978178877682608,0.982744542831975,1.04053118187185,1.06600335417078,1.08605686274573,1.0875863413115,1.10021098683978
"SPAC1006.09",1.40891742174892,1.2158513842261,1.0727806622495,1.04452848503661,1.05462038992011,1.05855914073223,0.827056012711488,0.829958191102862,0.546595919555162,0.672232389246858,0.687481889867202
"SPAC1039.02",1.82948643839601,1.49230216638576,1.21475964449426,0.983949926548882,0.853837043440486,0.863948061663689,0.910822920982236,0.959027287651873,0.989909257452829,0.974887039266044,0.824364179912989
"SPAC1039.06",1.76797136096138,1.56185905515023,1.25108531701198,1.08231965472724,0.95922596597169,0.902903371877171,0.934099686107166,0.936970924515281,0.923647639121017,0.916478181618054,0.941182817403246
"SPAC1039.10",2.92334232775124,2.45455978380248,1.88276038855176,1.56575150476412,1.38151631868663,1.21132193955816,1.27925817558694,1.26695697489237,1.26920444353643,1.30060212109333,1.2788091810077
"SPAC1039.11c",0.156086808045506,0.0395569002324719,0.0822503496566637,0.125071754176321,0.252508426084613,1.29723040285991,4.36101691884836,4.18326594889515,3.35494756228627,3.05509284463215,3.10397568450799
"SPAC105.02c",0.683429527959382,0.624171392214578,0.65084594457264,0.785223666428963,0.994463643628863,1.26497447317963,1.46466082281406,1.59024568950046,1.52621780760347,1.49521913009307,1.50440225157723
"SPAC1071.01c",1.06361936227659,1.02923644583176,0.960238098246019,0.951967533711146,0.940993806211145,0.956914279890875,0.90634610365828,0.845912479474509,0.848151490500092,0.932258527145631,0.948329803749287
"SPAC1071.02",1.06372246382067,1.10078876126418,1.00620038874101,0.951440389246904,0.92172981833244,0.851350976086618,0.851303652517869,0.868828269406221,0.906312217785489,0.911491689846154,0.929558197795575
"SPAC1071.04c",0.809159965481784,0.738666189768995,0.735035121116067,0.823602561148183,0.996057381189432,1.01296481141608,1.04322384110373,1.00594612857734,0.96480639683754,0.922036948800828,0.846460331977609
"SPAC1071.05",1.04854980601077,1.00949134546636,0.943811746459432,1.04202189173881,1.2254103009536,1.14502753827108,1.21481425565936,1.09901619896654,1.12719740879044,1.16462430622724,1.03609882838006
"SPAC1071.06",0.934168489969558,0.922308966136549,0.973799333452508,1.01496805630025,1.00900751383137,0.939563719372774,0.897458490742115,0.907109208961758,0.893378690182043,0.914715466684505,0.935551922675099
"SPAC1071.07c",0.974569352449264,0.986287602606889,1.05913954289634,1.01149219459789,0.934409419435426,0.874599362291092,0.895779832620331,0.888160749903055,0.863340266809543,0.855546524017465,0.815695252523161
"SPAC1071.08",1.21052506145283,1.27614362232708,1.46089020877108,1.35641700849966,1.20320104488822,1.26936283831123,1.30055458025561,1.32850623827154,1.29103244281131,1.21341382301653,1.13907434372187
"SPAC1071.10c",1.21140084448029,1.11542397327491,0.987271067584041,0.876916494814963,0.799504056522766,0.75652425194988,0.784928656679279,0.893420376062668,0.905738138128142,0.911016575658044,0.884500323858676
"SPAC1071.11",1.15387660879461,0.995637549991476,0.938093159960494,0.974529530236102,0.93959938598476,0.893184354180674,0.854136943481283,0.916562974253178,1.08372564269631,1.08683810338812,0.933591490259623
"SPAC1071.12c",0.980081713914412,1.01439858379503,1.09714841582936,1.07520794047514,1.05912069530499,0.909262608623536,0.94456580805398,0.902696471481705,0.872722798148027,0.776337505348725,0.680093241687116
"SPAC1093.02",1.35043601745311,1.26343328355712,1.09670493022771,0.981416695574433,0.902667699525578,0.86313811207165,0.860841725595822,0.886995153862385,0.914808629001708,0.929448833118489,0.872958097484443
"SPAC1093.04c",0.535321731237536,0.617234392466903,0.730294110174607,0.910020872107975,1.11613193477505,1.14724268623155,1.16892270348226,1.16954720228645,1.18049576094674,1.21067433639816,1.19829634266051
"SPAC1093.05",1.14839262800105,1.71523582409221,1.68383116425088,1.4771559762608,1.31615897679409,1.23159347207104,0.922931253713273,0.861982894328299,0.795145197277889,0.808483213433743,0.843657603359019
"SPAC1093.06c",0.922252390065497,0.999665254220666,1.25363314011506,1.29466612005853,0.978862460969437,1.50766254332331,0.944350467148677,1.58092321225468,1.25340185741001,0.810995412788568,1.01676124897765
"SPAC10F6.01c",1.35440316499171,1.30403359518608,1.20036819306006,1.04541728769854,0.959903300601239,0.915937275677841,0.914734719099233,0.95903795985416,0.958507064907651,0.969695828934318,0.975288256845699
"SPAC10F6.02c",0.954947677846178,0.908671384403223,1.09026614580669,1.0869110655708,0.972978651209875,0.882555538574587,0.773602631248603,0.826528715503079,0.796017703676865,0.817865226529298,0.858371476141947
"SPAC10F6.03c",0.778762082159965,1.1230107731134,1.18204125313701,1.06586676866955,0.956431818011816,0.880407746184483,0.930344833323522,0.9397485307321,0.943578216766638,0.962530802323152,0.933001484425559
"SPAC10F6.05c",0.250368206974457,0.511495118417162,0.775381035768576,1.07029774966177,1.52187468278434,2.23538591293349,2.18891210102685,1.61072763137452,1.00994419518974,0.587199912440379,0.492690896492572
"SPAC10F6.06",1.00632959969292,0.96660902281456,0.950491935437688,1.03721764376101,1.21222931118121,1.26765570428256,1.2806291960335,1.36441701762336,1.41676734028084,1.41718605009587,1.34571964383
"SPAC10F6.08c",1.02645817135638,1.05775036649777,1.13073033269036,1.17468504262592,1.16159945051478,1.14803643649327,0.99330984282327,0.830743346005757,0.804959288122067,0.844595816606728,0.87669579982283
"SPAC10F6.09c",0.373527808399002,0.59746831052362,1.42063066498764,1.75123678097599,1.26685895758003,0.487704371768279,0.270744205274286,0.238878375130288,0.226366233903377,0.199867445181254,0.183209899434319
"SPAC10F6.10",0.923583061550527,1.18691180006413,1.22641103821802,1.14656569795708,1.04561854931138,1.01892190621108,0.981331790997162,0.996257779910934,0.929518453840418,0.931612233079099,0.960872436394174
"SPAC10F6.11c",0.686741346614802,0.66151248484586,0.721138790948273,0.899309209325683,1.05531002705774,1.1317077539439,1.43682250467716,1.51033439632854,1.51475584546721,1.56815734277106,1.53445510187736
"SPAC10F6.12c",0.11248275543845,0.140963128563149,0.141366512320372,0.133958056322499,0.117610153036687,0.102240617843704,0.100439578535093,0.106460227024005,0.0971929672566069,0.0913275702069001,0.0860449919959328
"SPAC10F6.13c",2.03182740858465,1.79552345480781,1.50469422356919,1.28254820413398,1.14814685797437,1.07024469069912,1.08294906409332,1.09152227688019,1.12088744768007,1.13457223000032,1.16992773752356
"SPAC10F6.14c",0.899645279783172,0.916620113345001,0.892563180669823,0.873625629949971,0.881421159511575,0.882506767009138,0.864235042502927,0.931957646006117,0.882589176468079,0.907214192625343,0.9750006459958
