"","WT4_T00","WT4_T01","WT4_T02","WT4_T03","WT4_T04","WT4_T05","WT4_T06","WT4_T07","WT4_T08","WT4_T09","WT4_T10","WT5_T00","WT5_T01","WT5_T02","WT5_T03","WT5_T04","WT5_T05","WT5_T06","WT5_T07","WT5_T08","WT5_T09","WT5_T10","WT7_T00","WT7_T01","WT7_T02","WT7_T03","WT7_T04","WT7_T05","WT7_T06","WT7_T07","WT7_T08","WT7_T09","WT7_T10"
"SPAC56E4.06c",1.80264628474601,1.6739203213927,1.37913914134797,1.21580547112462,1.07521101016074,1.20389097563325,1.21480113705386,1.18552240044576,1.15418797105297,1.35146092926453,1.58235359273383,2.05575199407943,1.73928167666754,1.51034586920405,1.28173906356144,1.11541164266673,1.14307922682121,1.13302892622849,0.997904400758407,1.09294395383405,1.21455031274671,1.25833647917453,1.90501590688282,1.62408848034041,1.49673711309346,1.34349011863018,0.994431185361973,1.22086705978586,1.15129117305058,1.06895851372008,1.27645451992546,1.50913782955797,1.43938739672395
"SPAC56E4.07",1.58262906340012,1.54480713082972,1.38394895996236,1.235528868132,1.12064907994711,1.08039196620534,1.15573533660792,1.05963633281058,1.17408098810656,1.5017044345332,1.17771758332352,1.61754715149947,1.79720355127422,1.39723347771413,1.22024136374175,1.19314656612418,1.048690709649,1.25557159897043,1.24506642429374,1.08032193593691,1.19156846156596,1.07965710090475,1.94806459782206,2.00280392549569,1.79678375707484,1.50351069747861,1.39653101695389,1.29381169864538,1.65914520838864,1.17278665837897,1.09649122807018,1.18413262285376,1.21518495114956
"SPAC56F8.03",1.19889701474643,1.25415438640497,1.18504473543876,1.0778068785635,1.04245937014605,1.07920268505628,1.02790769388909,1.05106052006475,1.09189378057303,1.12756097285961,1.11304038110503,1.14038088721633,1.19737535322573,1.16298002000326,1.07931916547042,0.999100809271656,1.03789349136992,0.997804829375374,1.02441173156315,1.02739022335463,1.04969244011505,1.06381847001628,1.14941207572327,1.13694502870786,1.08752392552636,1.02455867135231,1.02587250456513,1.03599030313076,1.00280786201364,1.0371292263016,1.05017747999412,1.0418837257762,1.08873162765378
"SPAC56F8.05c",1.0415798683443,1.02895478772663,0.985415845486796,0.938174312787316,0.922849760059062,0.977421561919656,1.03273778787566,1.03776424071979,1.00178317404981,0.989609104403761,0.959232613908873,0.994826900119379,1.00848132796821,1.02122097179388,0.959969280983008,0.919709371838499,0.929022668153103,0.995520159283226,1.02133570283216,0.985804416403785,1.01151099512452,0.969649956365752,1.25374556487506,1.16122439500209,1.13741057109385,1.03459692103956,1.00085072311465,1.05604426937577,1.10242644059575,1.12447992803328,1.08850646028584,1.07895815800263,1.02121054297765
"SPAC56F8.08",0.671862402579952,0.65560873270832,1.05113785672991,1.33809695850561,1.57415861222177,1.39031782665517,1.3789489650988,1.32158008114502,1.31118308049353,1.24297717893899,1.10549763976254,0.638773554774832,0.648046140885231,0.805477245267821,1.1138834432365,1.42818377868864,1.3309730744147,1.22125471709634,1.24752055290111,1.19467176393286,1.21397528346323,1.11492663782723,0.582716624905309,0.655179191508878,0.90711175616836,1.18083272323643,1.38371916035921,1.28506624516494,1.20078291045762,1.21672263590792,1.11963276045457,1.03677438752553,0.952743902439024
"SPAC56F8.09",1.49053510210165,1.40599516337664,1.31703719313033,1.03953345738433,1.07517632891794,1.00463135052592,0.761208799573723,0.714387769681383,0.701705143498702,0.912075884713608,1.01931603893787,1.34603995046573,1.34569579200926,1.26136807981937,1.12503656368832,1.08679114047862,0.851788756388416,0.991178511249876,0.802697062128753,0.833263894675444,0.838996560114104,0.804893754024469,1.69669822525366,1.55132560773181,1.28667009778693,1.29740389480649,1.64777221196942,1.11915660358354,1.12547973573736,1.02662026343076,0.952925481227368,0.687332462712214,0.859697386519945
"SPAC56F8.10",1.87744067287474,1.89279224712296,1.4673729621858,1.15438782813474,0.950299344293452,1.11642030991828,0.944197903880653,0.947867298578199,0.988435306909163,1.04489932395014,1.03357036547048,1.77509541137836,1.57803376992268,1.29548781593709,1.1033873993159,1.01849588527662,0.864603147155456,0.910249408337885,0.91441111923921,0.917683766174176,0.962649210627647,0.941796948577887,1.58466048649077,1.46419315636119,1.24658746680961,1.09591443100123,1.01705602961667,0.991571641051066,0.99147332936744,0.97012029491657,0.961261174661155,0.928332714444857,1.0520335809119
"SPAC56F8.11",0.796939751354798,0.636942675159236,0.787897888433659,1.06998790913663,1.09243054872786,0.996313639533725,0.944643869261289,1.01332522673152,1.02339480524797,0.978282136568186,0.839137366786943,0.796495420151334,0.724217844727694,0.847816871555744,0.902445627650934,1.05853710172542,1.02780204532607,1.01906673868072,0.999600159936026,1.05241001894338,1.11457868925546,0.98512461826421,0.831946755407654,0.758782912208817,0.884486113568017,0.925411808254673,1.02179488489481,1.06238313785484,0.998302885095338,0.995123892924669,1.00234548844296,0.957212596917775,0.866776458351391
"SPAC57A10.03",0.795038956908888,0.765345170671973,0.838855800687862,0.922594335270781,1.11206254239738,1.15842639358695,1.29907246226194,1.25046892584719,1.188537742016,1.25571349640866,1.24798761996281,0.845665961945032,0.829256157226967,0.850412450038269,0.900900900900901,1.06002946881923,1.12996903884834,1.22773201065671,1.32177223220895,1.26508615236698,1.22004782587477,1.20273260848648,0.740685875120361,0.715307582260372,0.769822940723634,0.895896792689482,0.966463709287716,1.08857755570796,1.1778701751493,1.14122681883024,1.09425951458648,1.18715498308304,1.13435273832751
"SPAC57A10.07",0.956114351276413,0.947418285172904,0.977517106549365,0.955109837631328,0.9379103357719,0.809847748623259,0.866551126516464,0.920047842487809,0.763475339746526,0.854116843184148,0.869111767773336,0.924898261191269,0.958588957055215,1.04560948576925,1.16075263200659,0.752105896510229,0.550903481710004,0.784252215512509,0.972478848585043,0.857853650167282,0.728173013908105,0.928418902608857,0.844166807361134,0.998502246630055,1.09442717681565,0.887075312694048,0.771366862079605,0.64143681847338,0.787959971633441,0.808865162177465,0.804052424218059,0.798084596967279,0.91399323645005
"SPAC57A10.08c",0.645786244752987,0.522875816993464,0.548937805346654,0.818330605564648,1.28566102261478,0.892458723784025,1.04128703077003,1.03341015015449,0.842815002107037,0.704324552753909,0.637145587766805,0.691228312711689,0.739207569485512,0.680133306128001,0.691515109605145,0.964134207481682,0.947687642153146,0.93179276928811,0.924385283786282,0.907852927825692,0.733621891277236,0.75654410652141,1.00361300682457,0.701705143498702,0.704324552753909,0.747999102401077,1.00528781390112,1.04209001573556,0.759647523549073,1.13101701049584,1.12679865234881,0.89461442118447,0.669523299410819
"SPAC57A10.09c",0.920471281296024,0.825627476882431,0.91743119266055,1.06781706158101,1.39238920062936,1.58833526580791,1.90606892345227,1.49302756128878,1.46322905387609,1.57136347208473,1.569908003391,0.986485153398441,0.885582713425434,0.902853015529072,1.02966463822733,1.19621517518571,1.3683447134002,1.62816066689461,1.52439024390244,1.60212762548665,1.56560675089631,1.60820829513839,1.0239292260119,0.913325417846379,0.982414775518224,1.22019669570735,1.33720230533677,1.88189243102864,1.95648771325716,1.71732783788425,1.72494092077346,1.6154827870309,1.59553250897487
"SPAC57A10.10c",1.08906362309686,1.19421522146721,1.13485479532894,0.930838685655776,0.887705281846427,0.870094840337597,0.893415527561869,0.80768920119538,0.752785305630834,0.833611203734578,0.886760663296976,1.17255288213498,1.24854856229633,1.18273211117682,1.07129465959612,0.986485153398441,0.906207521522429,0.942773640049024,0.791702953052015,0.783944810285356,0.809192425958893,0.788581342165444,1.19535723250894,1.13803188765349,1.04255718426156,0.914913083257091,0.883782589482987,0.89031339031339,0.924043614858621,0.742170105388155,0.768462306923845,0.739535571660997,0.788892395077311
