,prot,prot,prot,prot,prot,prot,prot,prot,prot
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1093.04c,0.20541223185770352,0.2426591437720097,0.317422039859665,0.294536033866739,0.039663035361122645,0.027008923480381558,0.0007705562915577002,0.013442771739328868,0.021591874531361716
SPAC1093.05,0.578790968638037,-0.026659454740311728,-0.1889253167411229,-0.16648841111166612,-0.09580763482118598,-0.4162310305589813,-0.09856395004443973,-0.11644091255116393,0.08543927560822062
SPAC1093.06c,0.11628345521821559,0.32659824036660007,0.04646486748777773,-0.4034020234523086,0.6231354821136112,-0.6749192728328737,0.7433730188379627,-0.3349182594334818,-0.3018680839619645
SPAC10F6.01c,-0.05467621216223101,-0.119504040978896,-0.19939807457369155,-0.12311793888763557,-0.0676402734768201,-0.0018953943326171507,0.06823450980648932,-0.0007988542811159724,0.02503962012976812
SPAC10F6.02c,-0.07166304252450055,0.26284980374311984,-0.004446456103208957,-0.15975384411101454,-0.1407210812105852,-0.19009436713384886,0.0954722410720873,-0.054264425818495166,0.10880161873837801
SPAC10F6.03c,0.5281172214515057,0.07390861865591952,-0.14925327111062817,-0.15629308452343443,-0.11949028687742265,0.07959371312874314,0.014509202830523496,0.00586735856953631,-0.016262736792404267
SPAC10F6.05c,1.0306690981483986,0.6001849788440509,0.46503484528714467,0.507837365927685,0.5546743506585909,-0.03030989499347303,-0.44250146235987586,-0.6734369812147605,-1.035520858410161
SPAC10F6.06,-0.05809853673385087,-0.02425807546185551,0.12597236139335238,0.22494397911034883,0.06450033039499947,0.014689844074317449,0.09143184782519287,0.05431820605570292,-0.07422497814924706
SPAC10F6.08c,0.04332434741437813,0.09625571716229894,0.05501908950263529,-0.0161613162444931,-0.01694424485399762,-0.20885271866402255,-0.25784097493283553,-0.04548701356034307,0.12316051728203511
SPAC10F6.09c,0.677646542387972,1.249597431750805,0.3018426286402023,-0.4671182459177188,-1.3771771049277017,-0.8490764444807899,-0.18065420293672307,-0.07761748380955824,-0.3051613143765115
SPAC10F6.10,0.36189911212235415,0.047229855370904406,-0.09712356364416477,-0.132962383453213,-0.037313157460076164,-0.05423057925024996,0.021778087233682908,-0.10003557792130792,0.04786140682337116
