	pat1_exp_ribo	pat1_0h_ribo	pat1_1h_ribo	pat1_3h_ribo	pat1_5h_ribo	pat1_7h_ribo	pat1_10h_ribo	pat1_exp_mRNA	pat1_0h_mRNA	pat1_1h_mRNA	pat1_3h_mRNA	pat1_5h_mRNA	pat1_7h_mRNA	pat1_10h_mRNA
SPBC336.13c	9.99412886779065	12.4805013045556	8.9981959309222	132.551951989072	5.41291852055886	19.3236572728173	5.96890796394322	6.50141288352646	37.555170580481	19.4177434895876	58.491785801105	10.464492216577	7.01368587077339	18.6224812675064
SPCC338.17c	77.8621940023362	111.003569044416	60.0629299709785	13.6604966075642	0.619201562896172	3.58519302787437	2.48758223420427	3.78277313650112	20.8520385110007	17.8630725271249	2.54433669598342	1.80113566568022	8.16651797156084	4.04603365692947
SPBC29A10.05	48.6666488637274	74.6784065508034	24.2037687527562	476.829603226851	1210.50546319505	84.95421872946	13.0452209458662	15.796998295256	30.4445417890051	21.427854912616	50.1614235624668	256.81545948718	60.0626592198761	8.31135163056686
SPBC215.03c	25.8391101364516	57.2112073938955	10.3487737334566	89.1486105210516	14.7001390164062	48.131538651353	59.4896327906273	35.1560717007966	37.1862627537692	18.442180031774	36.2775933081497	2.36941058056446	73.3640789573536	23.3271010084236
SPBC83.14c	58.9770338247918	101.697543203029	33.3337125620148	241.128561713413	34.9089673930658	16.7827000528269	17.1312152690955	54.2215632776078	26.9382434068357	57.2819574109535	109.62059208053	6.65057747988553	18.5806583672622	12.8017743825707
SPAC1006.02	16.7467751123275	15.6259831009075	6.75516908980227	36.6680708337656	50.1774811474493	8.91360766144109	24.8811722758045	41.5753047622381	11.0978588647197	25.0004321258894	139.939715219133	14.3455463692856	50.5966111243245	44.2326543625311
SPBC1861.01c	6.0067263163424	21.0079096494639	15.2066922847162	70.658436194919	5.09114737728961	6.53161394501587	3.30714877405989	23.0815977668754	9.99732909358607	18.6691584752204	90.2547090189916	0.730904114130996	12.5655979238536	26.4477463769762
SPCC1795.05c	73.7923900713637	136.556636409762	906.814850261325	1037.06920516777	353.729434627283	49.1166767408749	16.824086464404	58.2958318013895	36.1078297873335	90.0468505464074	1216.98060019918	25.1495308698375	45.5414315909036	51.7678420253611
SPAC29B12.03	153.958866739573	2220.96455025796	1507.33551201223	1063.41061187014	103.58073738156	804.57569986731	111.570831699472	153.690506553628	326.436989228123	120.220531503959	384.399181704589	8.10113653491804	153.345871613424	237.83278008526
SPAC17A2.12	1.64812402216751	3.34830936176546	17.1337551214238	17.690151132322	29.4548592234188	9.62469808994489	1.62491885680912	7.93003978956926	21.9776121945127	7.59518905758887	35.2539862798753	3.23124959535415	6.09948487749303	5.66551912205036
SPBC1306.01c	62.8034849324847	18.9445301624325	51.6168887815586	49.8086933762694	2.59989769424938	23.0001893274105	3.99374493116674	28.3526421717885	23.260935204884	9.27973385174601	57.306949701032	2.10392814619919	6.99780146418393	18.2493617649948
SPBC215.12	83.9883750166268	27.4906824103697	112.078585094889	220.20227831256	39.2104064352815	18.4796263911293	7.35460450290765	19.7145169680214	46.5965018240366	7.31784185219235	91.6561769811452	8.77459780978273	2.43713872128357	16.2666449794497
SPCC548.07c	211.427708828414	44.4552162309823	129.069859219212	1117.75695406457	791.398942174141	224.999984576833	27.9505986582352	15.1015641590012	16.0065019991019	6.28189851690781	30.3103002572302	73.8413725767852	6.39614064310438	25.8557804865093
SPAC227.13c	2048.41886342531	644.335624941084	2474.81107548678	10185.7281882545	354.368096438991	1062.47404841267	1033.79169194483	46.9432133987611	157.021607857048	75.1725937649447	123.707631531935	11.1301196883382	30.2702887315139	102.562936829018
SPCC594.07c	87.4437477020843	197.477372240599	126.261344963565	1619.69795236929	135.58877467707	397.918260853598	173.87242639099	11.7675571836206	68.9105246930814	49.6354404240893	67.6003700771915	52.8480233587924	75.8002559265995	66.9306042429983
SPBC56F2.14	158.062681374415	154.420138006678	57.0121424141406	193.654800490041	63.241925951718	44.6551751224888	41.3119302085966	34.6442095265408	138.518097691399	68.4592384152753	37.7493915584534	46.4703185350447	66.9194897108394	22.1738663446586
SPAC821.06	125.283554211164	534.194903596908	122.34181780646	3365.97336419049	9613.94077997766	355.764648927959	86.8371644364731	24.4010134989081	105.660002886511	77.7631748798514	267.277988829724	1842.9465230647	229.091006029774	21.6920031117187
SPCC4B3.01	117.707085161093	313.633179445095	13.8534453360017	252.239881335318	362.582775591509	144.696444168368	180.08626664383	38.2116878587747	59.6537037754865	19.2842397918275	83.3664673709203	49.0236163917716	115.999823190104	24.8094250958971
SPAC4G9.19	14.3312169347964	126.060457249167	4.64820454919059	77.4372392798566	82.1242456300019	20.3218331350029	31.6523241332599	17.957140933762	10.142256475282	6.98919972433118	34.7985312511731	7.77368358517849	21.2767073768012	9.77287248772269
SPAC1687.04	23.7804510460872	27.2511725305631	13.3446548273231	96.5823835661334	78.4422610073939	26.9051622478023	29.6110024310381	9.89982614648034	4.31320826867649	9.3496058672014	32.3133149167686	3.24456428129043	9.7021388685727	11.9216698122498
SPAC24H6.10c	124.420027228984	88.7273906517749	84.5335171898998	31.9711163150497	7.35340383214328	91.8280790842288	86.9169083367536	260.074832050158	31.6717550072147	110.188049680529	115.942399515647	2.04098555457038	91.6682511282613	153.127751535345
SPBC2G2.15c	1.71946040007529	11.8242849894518	20.9864406284774	16.7339515131081	0	13.2495986185187	5.13039433457936	4.64624308590236	5.69099850791088	5.72066546094717	30.9603672012949	0	5.98901016025702	2.95992423564736
SPAC8E11.06	4.11654721208135	25.7175142947268	6.35513179030232	2.76883697607481	9.52028831050916	23.8548300496047	0	23.8748718456579	21.3357507805924	8.26144384296727	26.602019655913	2.29104547892322	18.4239081247754	38.350229109637
SPAC959.02	121.946815260204	433.304905338992	564.726957797981	559.850424831998	874.395491922881	919.434130129554	82.9409896073171	113.849517742652	281.541830636815	49.4949890851965	626.070483873455	187.60746496107	127.852966357352	72.5134357689318
