,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1071.12c,1.1022471376706486,-0.8260727575577427,-0.22538242072603706,-0.2169444034661776,-1.2450069393417686,0.5022245018310447,0.4162687928569303,0.0728430469292134,-0.23904992078395593
SPAC1093.02,0.2226563805860366,-0.5076425058004836,-0.5611615925031995,-0.6190287169451292,-0.5270090641887384,1.9394920772386741,0.36381970843253675,-0.04040357970458858,-0.10916447669361384
SPAC1093.04c,0.49492316550563303,0.2876128321944307,0.10755229845340963,0.00010012163466111001,-0.37954138903969104,-0.15629529648566431,-0.19364483430610363,0.10241537959540359,-0.026456794819205286
SPAC1093.05,1.67961988109714,-0.9072306576234529,-0.3944126656617581,0.09632043976218947,-0.06766189344058147,0.17550577966964834,-0.03864287171139561,0.0331062826042294,0.014774594970754406
SPAC1093.06c,0.8567421095899608,-1.1312696546483079,-0.6000958114247619,0.06377098117362046,0.9042594640391228,-0.9278552925557058,-0.3811275707755204,-0.0017593753105387133,-0.28958826636565455
SPAC10F6.01c,0.7984010761418131,-0.023327824533747377,-0.7300799424410976,-0.35719314272989733,0.5520830842203224,0.4378091062688153,-0.5704052530556231,0.053816683479380734,0.07263947931678993
SPAC10F6.02c,1.3420584992917268,-0.034362994916775635,-0.8708413163107902,-2.0233724694158672,-0.6536498977640122,1.8198452580550624,0.35040704481168355,0.26344601321820166,0.20271851813758718
SPAC10F6.03c,1.1365543960888471,-0.8513642732056712,-0.05202659831513756,0.22171610374367753,0.4545131678704807,-0.46641094629620794,-0.6470503341557454,-0.07282022747056804,-0.13866093582140604
SPAC10F6.05c,0.370394882111708,0.08847700604617659,0.29078658362722587,0.5310540282616265,1.4937769774583542,-0.756269098299593,-0.5334643159509844,-0.3091844725427322,-0.2967482537400232
SPAC10F6.06,-0.791634427419704,0.6450788309013376,0.01841896942282184,-0.11979508587028331,-1.0806536467885945,-0.11335555758753263,0.14460426109115737,0.26948042640960257,0.23342890100377456
SPAC10F6.08c,-0.054765006846681785,0.01383431672175317,-0.06937128557665789,0.2933829313423307,0.14410585157048023,-0.4610322142276213,0.13675739490430677,-0.05508494565650818,0.1360430578710366
SPAC10F6.09c,1.7684885265284653,0.16225963591803838,-0.508912852001578,-2.429786838490585,-1.364299172945105,1.6065059113577498,0.39682662257821033,0.07193578732322786,-0.09587230106050262
