,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC1006.06,0.02143173285363309,0.2585721849570497,0.5880253636058675,0.9145706404076748,0.811171766305505,-0.27876994585522574,-0.786000520957626,-0.5334338956366826,-0.1912681419907813,-0.532411907455567,0.41382269559474627,0.9949726654412805,1.0621627166178307,1.9407411889384827,-1.9259613936665425,-0.5238720444077134,-0.21499053101363708,-0.48430385728924097
SPAC1006.09,-0.21262015986730237,-0.18061175943333396,-0.03850330056511389,0.013871958750769797,0.005378078636469191,-0.35604492871326116,0.005053623130876428,-0.6025639730539433,0.33084701963270347,-1.2043815953796673,0.3695633819596402,0.1507779630296856,-0.058831705823006286,0.012215811231648999,-0.02775868437692125,-0.25773404725563137,0.125241819715542,0.19057161624748659
SPAC1039.02,-0.2938990343777599,-0.2968688002682619,-0.3040140832274637,-0.20462414353585018,0.01698382908370738,0.07622601366868456,0.07440126795647703,0.0457244174428575,-0.26401446436839576,-3.627429540756775,0.3989698289636352,-0.30865900936884016,-0.6683889294195888,-1.3111665161877477,1.0086083204665233,0.43063780053791856,0.2684197590992832,-0.013143407162223841
SPAC1039.06,-0.17883063690060286,-0.32008409148934497,-0.20905352567605487,-0.17418403317029235,-0.08729911292523979,0.049004921307352386,0.004427758782125965,-0.0206616946434591,0.027132397262830052,-2.015936983153331,0.4383730429940127,-0.02632041503325988,0.18726384209526903,0.11347362501186431,0.4440547749479997,-0.2531775668737274,-0.08651511218137314,0.06421541142862924
SPAC1039.10,-0.2521544750474143,-0.3826149001743142,-0.2659941401137993,-0.18060266185385443,-0.189670254761657,0.07872510464128668,-0.01393992122749299,0.0025569450686630524,0.01087652955737739,-2.5588138404594094,0.37712756865860664,0.3484655065466115,0.30815253824903965,1.5879416220735552,0.4729260558960342,-0.7202742715766326,-0.2188455823031602,-0.3221435049103296
SPAC1039.11c,-1.9803473277121264,1.0560924342371099,0.6046622953855803,1.0135755182679924,2.361031305561039,1.7492298460791647,-0.06003486799637825,-0.3183395021347437,-0.11217296134234811,-0.512179866437551,2.291557447085842,0.8819228496827978,0.6789032933661128,2.721082659036016,0.7283458074325759,-1.8833194659811507,-0.5147550717530551,-0.6666119874002598
SPAC105.02c,-0.13085034615755464,0.06037386204548323,0.2707875584406671,0.3408149729640614,0.3471177380686478,0.21145834079710968,0.11868306313559818,-0.059288811099353134,-0.020770494161415964,-0.28735495259613264,0.4852842463869139,0.49726624097734606,0.6007792205870752,1.2967974873355208,-1.2402479009480145,-0.8211465865136972,-0.34702929270247135,-0.43328072202391155
SPAC1071.01c,-0.04740749585272627,-0.10011036734654476,-0.012479805146568906,-0.01672714520308273,0.02420446737853575,-0.07832762118852671,-0.09955366738975649,0.0038135655338213115,0.16106690590506972,0.0495562708401468,0.1389087366239885,0.023612800827283453,-0.0055427310544869934,-0.4088126032029945,0.8716979001790574,-0.06781005465550038,0.15845597268615708,-0.00832829935110102
SPAC1071.02,0.04941585983135484,-0.12961999361257792,-0.0807324770840748,-0.04576934667663578,-0.11458990640481233,-8.019650823187785e-05,0.02939722511192211,0.06093708811598361,0.036537058691797616,-0.5834920376849195,-0.39837902858618235,-0.10238831148439342,0.32781142778945205,0.03549384421689217,0.0009009829694505145,0.06902991604192155,0.2691921013528482,0.35572726715752656
SPAC1071.04c,-0.13150239783456918,-0.00710935832224846,0.16413513051209327,0.2742805396100752,0.024283297333431923,0.04246468702904732,-0.05249569881638476,-0.06024166887311699,-0.18879701250603992,-0.27385243892487204,0.4245656689048626,0.1604062482047327,0.3214237014227713,-0.49834933393975844,-0.7546390337369873,0.39366723643959634,0.04067686411045346,-0.10661334601902017
