,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1071.12c,0.9800817139144122,1.0143985837950305,1.097148415829355,1.0752079404751387,1.0591206953049932,0.9092626086235353,0.9445658080539806,0.902696471481705,0.8727227981480269,0.6800932416871156,0.7183458,1.5422082000000001,0.8699020000000001,0.74408656,0.6402015,0.27010477,0.38257527,0.5105359,0.5369752,0.45498076
SPAC1093.02,1.35043601745311,1.2634332835571234,1.0967049302277034,0.9814166955744336,0.902667699525578,0.8631381120716504,0.8608417255958223,0.8869951538623854,0.9148086290017091,0.8729580974844433,0.6742369,0.78675365,0.5533796,0.37505648,0.2442027,0.16947472,0.65005517,0.83650947,0.8134075,0.7541303
SPAC1093.04c,0.5353217312375357,0.6172343924669034,0.7302941101746067,0.9100208721079749,1.1161319347750533,1.14724268623155,1.1689227034822636,1.1695472022864466,1.18049576094674,1.19829634266051,0.86455584,1.2183716,1.4871674,1.6022723,1.6023835,1.2317232,1.1052577,0.96643054,1.0375302,1.0186769
SPAC1093.05,1.1483926280010466,1.7152358240922065,1.6838311642508834,1.4771559762608069,1.3161589767940864,1.2315934720710366,0.9229312537132713,0.8619828943282991,0.795145197277889,0.843657603359019,0.6671667,2.1372254,1.1395848999999998,0.8669950999999999,0.9268554,0.8843898000000001,0.9987947,0.9723969000000001,0.9949690000000001,1.0052108
SPAC1093.06c,0.9222523900654966,0.999665254220666,1.2536331401150547,1.294666120058535,0.9788624609694386,1.5076625433233108,0.9443504671486788,1.580923212254682,1.2534018574100043,1.0167612489776465,3.9519765,7.156809,3.267182,2.1553931,2.2528042999999998,4.2163115,2.2162585,1.7017258000000002,1.6996518,1.3905455
SPAC10F6.01c,1.3544031649917068,1.3040335951860769,1.2003681930600634,1.0454172876985453,0.9599033006012391,0.915937275677841,0.9147347190992333,0.9590379598541596,0.9585070649076504,0.9752882568456993,0.31336468,0.54499525,0.53625375,0.32329157,0.2523879,0.37005144,0.5012515999999999,0.33755666,0.3503863,0.36847988
SPAC10F6.02c,0.9549476778461777,0.9086713844032234,1.0902661458066867,1.0869110655708034,0.9729786512098743,0.8825555385745872,0.7736026312486032,0.826528715503079,0.7960177036768646,0.8583714761419473,1.144457,2.9013447999999995,2.8330553,1.5491936000000002,0.3810745,0.24223766,0.8552039,1.0903167999999999,1.3087535,1.5061985
SPAC10F6.03c,0.7787620821599653,1.1230107731134,1.1820412531370135,1.06586676866955,0.9564318180118171,0.8804077461844831,0.930344833323522,0.9397485307321,0.9435782167666383,0.9330014844255587,0.64280075,1.4132316,0.78329825,0.75555414,0.8810667,1.2073436000000002,0.8738305000000001,0.5580147,0.53054786,0.48192945
SPAC10F6.05c,0.25036820697445666,0.5114951184171618,0.775381035768576,1.0702977496617736,1.5218746827843435,2.2353859129334936,2.1889121010268533,1.6107276313745202,1.0099441951897394,0.492690896492572,1.6967338,2.193379,2.332104,2.8528792999999997,4.1223664,11.609627,6.873193700000001,4.7486463,3.8326222999999997,3.1200812
SPAC10F6.06,1.006329599692919,0.9666090228145583,0.9504919354376876,1.0372176437610083,1.2122293111812066,1.2676557042825634,1.2806291960335032,1.3644170176233565,1.4167673402808367,1.3457196438300034,1.9345506000000001,1.1175691,1.7476822,1.7701380000000002,1.6290905,0.7702576999999999,0.7120535,0.78712344,0.94877785,1.1154077
SPAC10F6.08c,1.0264581713563767,1.0577503664977665,1.1307303326903568,1.17468504262592,1.1615994505147833,1.14803643649327,0.9933098428232713,0.8307433460057569,0.8049592881220669,0.87669579982283,0.8311661,0.8002062,0.80791646,0.7699874,0.9436277,1.0427516,0.7575239,0.83284545,0.8016452,0.8809174999999999
SPAC10F6.09c,0.3735278083990017,0.5974683105236197,1.4206306649876366,1.7512367809759901,1.266858957580028,0.4877043717682787,0.27074420527428567,0.23887837513028773,0.22636623390337696,0.18320989943431898,1.4896246000000002,5.0751038,5.6792364,3.9910936,0.7407185000000001,0.28771216,0.8761222,1.1535101,1.2124846000000002,1.1345295
SPAC10F6.10,0.923583061550528,1.18691180006413,1.2264110382180202,1.1465656979570766,1.0456185493113865,1.0189219062110795,0.9813317909971614,0.9962577799109337,0.9295184538404172,0.9608724363941725,0.71610165,1.6642512999999999,1.0522045,0.7401739,0.5711111999999999,0.64653385,0.7512451,0.6726382,0.6617057,0.72049814
SPAC10F6.11c,0.6867413466148017,0.6615124848458593,0.7211387909482734,0.899309209325683,1.055310027057742,1.1317077539438969,1.4368225046771563,1.5103343963285365,1.5147558454672065,1.5344551018773567,1.6076704,0.90051174,1.3769076999999998,1.9178951000000002,2.0809035,2.6507206,4.4401283,2.855891,2.4357305,2.3055463
SPAC10F6.12c,0.11248275543845034,0.14096312856314933,0.1413665123203713,0.13395805632249902,0.11761015303668665,0.1022406178437036,0.10043957853509301,0.10646022702400466,0.09719296725660687,0.08604499199593274,1.4099617,0.92530656,0.44390413,0.25372466,0.23084027,0.24400398,0.28745052,0.42966107,0.4663854,0.45523065
SPAC10F6.13c,2.03182740858465,1.7955234548078132,1.5046942235691934,1.28254820413398,1.1481468579743754,1.0702446906991174,1.082949064093322,1.0915222768801918,1.1208874476800734,1.1699277375235566,0.88187456,0.29739654,0.35202107,0.25669885,0.17990494,0.15540299999999999,0.49359077,0.49828222,0.51184064,0.6843901
SPAC10F6.14c,0.8996452797831723,0.9166201133450018,0.8925631806698225,0.8736256299499706,0.8814211595115754,0.8825067670091381,0.8642350425029267,0.931957646006115,0.8825891764680792,0.975000645995799,0.5818401999999999,0.89212847,0.82449746,0.9580190999999999,0.9564308000000001,0.710841,0.85753363,0.69482344,0.64945084,0.71111965
