,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1006.01,1.341179319993686,-1.2814511781717557,-0.3185710112710059,-0.05121849055905762,0.17270230362689126,2.0488276530752954,2.3350698710721676,1.548509719393064,1.3202521528721878,1.37320340575316
SPAC1006.03c,0.9002591400137749,0.9537435123261415,1.014038008022251,0.9879125224519026,1.0258743133519863,0.39648877184966747,0.22479588546488127,0.46570997663471886,0.6184766101623165,0.765117917014768
SPAC1006.04c,1.2966378908136307,2.4750442741445466,3.3526422969819896,4.111973765623125,4.293714047222559,5.533786026830375,2.9415589606383827,2.88022857008901,2.5239768154968445,1.7409439186827445
SPAC1006.05c,0.1614516163085078,-1.1627531001380742,-0.7353611037607883,-0.4145887947263549,0.25099903462396855,2.343839713332649,1.4394779299746912,0.8959032314080675,0.9577610000657631,0.6582358912313129
SPAC1006.06,0.09929251085560452,-0.4331193965999625,-0.01929670100521625,0.9756759644360642,2.037838681053895,3.9785798699923776,2.052618476325835,1.5287464319181217,1.3137559009044846,0.8294520436152436
SPAC1006.09,0.9585998738237361,-0.24578172155593106,0.12378166040370915,0.27455962343339474,0.21572791761038845,0.22794372884203745,0.2001850444651162,-0.05754900279051516,0.06769281692502684,0.2582644331725134
SPAC1039.02,1.9779487392690376,-1.6494808014877376,-1.2505109725241024,-1.5591699818929425,-2.2275589113125314,-3.538725427500279,-2.530117107033756,-2.0994793064958372,-1.831059547396554,-1.844202954558778
SPAC1039.06,0.7663947605441941,-1.2495422226091373,-0.8111691796151246,-0.8374895946483845,-0.6502257525531154,-0.5367521275412511,-0.09269735259325138,-0.3458749194669788,-0.43239003164835194,-0.3681746202197227
SPAC1039.10,1.3580493882694626,-1.2007644521899465,-0.8236368835313399,-0.4751713769847284,-0.16701883873568876,1.4209227833378664,1.8938488392339006,1.173574567657268,0.9547289853541078,0.6325854804437782
SPAC1039.11c,1.6116026687312281,1.0994228022936772,3.390980249379519,4.272903099062317,4.95180639242843,7.672889051464446,8.401234858897022,6.517915392915871,6.003160321162816,5.336548333762556
SPAC105.02c,0.12711408020609322,-0.1602408723900394,0.32504337399687455,0.8223096149742206,1.4230888355612958,2.7198863228968166,1.4796384219488021,0.6584918354351049,0.3114625427326336,-0.12181817929127794
SPAC1071.01c,-0.5933798942582145,-0.5438236234180677,-0.40491488679407917,-0.3813020859667957,-0.3868448170212827,-0.7956574202242772,0.07604047995478014,0.008230425299279753,0.16668639798543683,0.1583580986343358
SPAC1071.02,0.11655745806692454,-0.466934579617995,-0.8653136082041774,-0.9677019196885708,-0.6398904918991187,-0.6043966476822266,-0.603495664712776,-0.5344657486708545,-0.2652736473180063,0.09045361983952024
SPAC1071.04c,-0.44463256342808405,-0.7184850023529561,-0.2939193334480935,-0.1335130852433608,0.18791061617941054,-0.31043871776034787,-1.065077751497335,-0.6714105150577387,-0.6307336509472853,-0.7373469969663055
SPAC1071.05,-1.5104864117859098,-0.8130819072221577,-0.7987222148145797,-0.38317433588749467,-0.04668256039846082,-0.9336082112312102,-1.1902716133835285,-1.0629517711795875,-0.9756484031257794,-0.9079441475816413
SPAC1071.06,-0.4146868131217812,0.38008651924955417,0.305273541159111,-0.09228660270601956,-0.9275884697711674,-2.616780451553942,-1.133209799625269,-0.8828537644990341,-0.7939434745971945,-0.7965324474630665
SPAC1071.07c,-1.5318444618288765,0.6009024592101407,-0.1809821975877031,-0.7509163640822006,-0.8795317992912202,-0.9360557847548941,-0.18691577957913147,0.15639053254114724,-0.4393007538702634,-1.0353893321619347
SPAC1071.08,-2.4399456870056735,0.7099858736592719,-0.418139278572473,-1.2321199470727295,-1.1822006012004087,-1.133715100041488,-1.1136029991269456,-0.8253621296214892,-0.8025165268608714,-1.268444834398175
SPAC1071.10c,-0.4448919206671997,-1.0340979777604613,-1.5834043805799107,-2.599615004196239,-3.4268802170387542,-4.598603528912485,-2.981248705994948,-3.311759186034826,-2.7507179733475615,-2.4781028354497465
SPAC1071.12c,-0.4772495936683488,0.6249975440022999,-0.2010752135554428,-0.42645763428147987,-0.6434020377476575,-1.8884089770894261,-1.3861844752583814,-0.9699156824014511,-0.8970726354722377,-1.1361225562561936
SPAC1093.02,-0.568672508813781,-0.34601612822774436,-0.8536586340282281,-1.4148202265314276,-2.0338489434765568,-2.560858007665295,-0.621365930426621,-0.2575462219940843,-0.29794980169867286,-0.4071142783922867
SPAC1093.04c,-0.20996894711070585,0.2849542183949272,0.5725670505893579,0.6801193490427675,0.6802194706774286,0.30067808163773757,0.14438278515207326,-0.04926204915403036,0.053153330441373235,0.02669653562216795
SPAC1093.05,-0.583880812915015,1.095739068182125,0.18850841055867215,-0.20590425510308594,-0.10958381534089646,-0.17724570878147794,-0.0017399291118295912,-0.0403828008232252,-0.007276518218995796,0.0074980767517586104
SPAC1093.06c,1.9825743681183745,2.8393164777083353,1.7080468230600274,1.1079510116352655,1.171721992808886,2.075981456848009,1.148126164292303,0.7669985935167827,0.765239218206244,0.4756509518405894
