,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1006.01,0.4255504776499479,-1.8413519086242438,-1.0090747923586232,-0.7779854080163443,-0.5844367617119504,1.0372148718632344,1.2846317944847885,0.6047590155947327,0.4074618276785289,0.4532308834399295
SPAC1006.03c,0.5665633887511687,0.7501941669696887,0.9572065088609998,0.8675084711126809,0.9978447339155497,-1.1630585690261286,-1.752541009939665,-0.9253976756783446,-0.40089575880701406,0.10257574384106366
SPAC1006.04c,-1.4411464984360254,-0.5072241981882384,0.18829848038426478,0.7900913778729374,0.934125986171016,1.9169201156414915,-0.13749735753911563,-0.18610352619806522,-0.4684436957884352,-1.0890206839198322
SPAC1006.05c,-0.2645577235325156,-1.5245288760884397,-1.117868501313684,-0.8126559832623302,-0.17935400656788872,1.8119686713519574,0.9514750147799202,0.43426764423748504,0.4931248610274379,0.20812889936805742
SPAC1006.06,-0.8863905710052922,-1.301429460474548,-0.9788361645476511,-0.20321048012120374,0.6247928537026233,2.1376873936721177,0.6363143650181097,0.2279326806676114,0.06033794811412833,-0.31719856502589494
SPAC1006.09,2.4271285152814848,-1.4382072457485315,-0.2521325317742791,0.23177344512682274,0.042959287494019095,0.08216464581635381,-0.006923925291738311,-0.8340941789007222,-0.4321437618733422,0.1794757498699329
SPAC1039.02,2.5494671983675334,0.004038258903034644,0.2840021664598355,0.06741089541064547,-0.4016089724176827,-1.3216767937942644,-0.6139191988763605,-0.3117333376210453,-0.12337863215849279,-0.13260158427320426
SPAC1039.06,2.277292654235664,-1.4789893155573357,-0.6621717408006065,-0.7112143950368788,-0.3622869238237963,-0.15085227321661593,0.6765520348925491,0.20480795878741298,0.043604925797173344,0.16325707472243214
SPAC1039.10,0.8262423860746323,-1.5726120363742566,-1.219059885920955,-0.8923780428603632,-0.6034890789665143,0.8851853695107144,1.3285473455713988,0.6532996607153787,0.4481347969646482,0.14612948528531727
SPAC1039.11c,-1.380175149577496,-1.59346602339065,-0.6391757001852693,-0.2719100039504759,0.010810747421233413,1.1439714514927135,1.4472819169859577,0.662997174669911,0.448633888940583,0.17103169759349204
SPAC105.02c,-0.7045275003940001,-1.0251717061720622,-0.48366866140626413,0.0712044579114972,0.7415822408336854,2.1886100251993574,0.804682935812081,-0.11159114501124273,-0.4988227933089381,-0.982297853464112
SPAC1071.01c,-0.9382164605877081,-0.7945903966047773,-0.3919992662410629,-0.32356365587451075,-0.3396278316402748,-1.5244656757561479,1.0019257629531042,0.8053958166209259,1.2646395669206838,1.24050214020977
SPAC1071.02,1.636083988983427,0.0197003245815423,-1.0838851786618027,-1.3675202300769056,-0.4594203715330726,-0.3610956879493182,-0.3585997941587151,-0.16737382801203193,0.5783393730440552,1.5637714037828216
SPAC1071.04c,0.10362875078520559,-0.6606414670192761,0.5242407911783313,0.971904207045381,1.8689367960496233,0.47813832265225714,-1.627916094617893,-0.529265501191124,-0.4157440882895278,-0.7132817165929752
SPAC1071.05,-1.593553546042949,0.12088839591205343,0.15618908407225437,1.1777378521988418,2.004941590124469,-0.17540356857876346,-0.8063637914268413,-0.49337115072964444,-0.27875172271345977,-0.11231314281596073
