,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.19,4.068619802720787,3.1237353655701106,2.2283744600070166,1.6353115917153398,1.1242130701592163,0.8104295760220359,0.711439020345287,0.7071543096351106,0.705069079921826,0.5999299507897263
SPAC1006.01,0.7269246808408686,0.4220537703597957,0.46238810516850104,0.6069037533560656,0.9821702846515589,1.7201192282083866,2.2157447198472338,1.4981285577140635,1.2855454949554768,1.8320106926039266
SPAC1006.03c,1.0838008187238366,1.2034938224813132,1.38105014944965,1.5171921110170468,1.4808794156642267,1.1778377983957933,0.601958673742588,0.42144452469854005,0.40056867232423604,0.499313185696616
SPAC1006.04c,0.17180230493036333,0.19511904286594528,0.435120394949782,1.0968579958479445,2.0963315830089932,2.4088037080552396,1.3326887894241704,1.1042477821228067,1.023484650174096,0.8761753766195772
SPAC1006.05c,1.0658096115865747,0.983232455020674,0.9006848181235804,0.9188615139101893,0.9675395489123121,1.0023451849989233,0.914149290001447,0.8526180260315713,0.937629829329286,1.0963245444313567
SPAC1006.06,0.42799367750310796,0.43439913114264667,0.5196691449994076,0.7811603733371246,1.4724935469843066,2.58369017378322,2.12971906136707,1.2351297557308334,0.8533613737564968,0.747404198705652
SPAC1006.09,1.4089174217489167,1.2158513842261003,1.0727806622494966,1.044528485036609,1.0546203899201068,1.0585591407322266,0.8270560127114882,0.8299581911028623,0.5465959195551616,0.687481889867202
SPAC1039.02,1.8294864383960068,1.49230216638576,1.2147596444942572,0.9839499265488816,0.8538370434404855,0.8639480616636889,0.9108229209822354,0.9590272876518727,0.9899092574528306,0.82436417991299
SPAC1039.06,1.7679713609613732,1.56185905515023,1.2510853170119833,1.0823196547272358,0.9592259659716879,0.9029033718771714,0.9340996861071647,0.9369709245152807,0.923647639121017,0.9411828174032465
SPAC1039.10,2.9233423277512434,2.4545597838024835,1.8827603885517625,1.565751504764121,1.3815163186866295,1.2113219395581576,1.2792581755869423,1.266956974892372,1.2692044435364334,1.2788091810076958
SPAC1039.11c,0.15608680804550615,0.0395569002324719,0.08225034965666367,0.1250717541763207,0.2525084260846126,1.2972304028599086,4.361016918848364,4.1832659488951505,3.3549475622862737,3.10397568450799
SPAC105.02c,0.6834295279593817,0.6241713922145781,0.6508459445726397,0.7852236664289634,0.9944636436288627,1.26497447317963,1.4646608228140632,1.5902456895004633,1.52621780760347,1.5044022515772333
SPAC1071.01c,1.0636193622765897,1.0292364458317595,0.9602380982460197,0.9519675337111456,0.9409938062111444,0.9569142798908751,0.9063461036582804,0.8459124794745083,0.8481514905000913,0.9483298037492857
SPAC1071.02,1.0637224638206633,1.1007887612641767,1.0062003887410063,0.9514403892469043,0.9217298183324396,0.8513509760866177,0.8513036525178683,0.8688282694062214,0.9063122177854895,0.9295581977955764
SPAC1071.04c,0.809159965481784,0.7386661897689955,0.7350351211160663,0.8236025611481831,0.996057381189433,1.0129648114160785,1.0432238411037267,1.0059461285773421,0.9648063968375403,0.8464603319776097
SPAC1071.05,1.0485498060107747,1.0094913454663612,0.9438117464594327,1.0420218917388036,1.2254103009536,1.1450275382710802,1.2148142556593566,1.0990161989665408,1.1271974087904433,1.0360988283800598
SPAC1071.06,0.9341684899695576,0.9223089661365492,0.9737993334525094,1.01496805630025,1.0090075138313734,0.9395637193727744,0.8974584907421145,0.907109208961758,0.8933786901820427,0.9355519226750982
SPAC1071.07c,0.974569352449263,0.9862876026068886,1.0591395428963402,1.011492194597887,0.934409419435426,0.874599362291092,0.895779832620331,0.8881607499030556,0.8633402668095426,0.8156952525231617
SPAC1071.08,1.2105250614528336,1.2761436223270735,1.4608902087710798,1.35641700849966,1.20320104488822,1.26936283831123,1.3005545802556133,1.32850623827154,1.2910324428113134,1.1390743437218733
SPAC1071.10c,1.2114008444802902,1.1154239732749034,0.9872710675840423,0.8769164948149633,0.7995040565227663,0.7565242519498799,0.7849286566792789,0.8934203760626688,0.9057381381281421,0.8845003238586756
SPAC1071.12c,0.9800817139144122,1.0143985837950305,1.097148415829355,1.0752079404751387,1.0591206953049932,0.9092626086235353,0.9445658080539806,0.902696471481705,0.8727227981480269,0.6800932416871156
SPAC1093.02,1.35043601745311,1.2634332835571234,1.0967049302277034,0.9814166955744336,0.902667699525578,0.8631381120716504,0.8608417255958223,0.8869951538623854,0.9148086290017091,0.8729580974844433
SPAC1093.04c,0.5353217312375357,0.6172343924669034,0.7302941101746067,0.9100208721079749,1.1161319347750533,1.14724268623155,1.1689227034822636,1.1695472022864466,1.18049576094674,1.19829634266051
SPAC1093.05,1.1483926280010466,1.7152358240922065,1.6838311642508834,1.4771559762608069,1.3161589767940864,1.2315934720710366,0.9229312537132713,0.8619828943282991,0.795145197277889,0.843657603359019
SPAC1093.06c,0.9222523900654966,0.999665254220666,1.2536331401150547,1.294666120058535,0.9788624609694386,1.5076625433233108,0.9443504671486788,1.580923212254682,1.2534018574100043,1.0167612489776465
