,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,4446,prp19: cwf8,PRP19 CWF8,SPAC29A4.08C,1,0.8742028,0.9852121,0.9504255,0.7559853,0.42704737,0.17542961,0.45545986,0.5505037,0.5913268,0.70793283,0.7614857
0,3807,I10_prp19: cwf8,PRP19 CWF8,SPAC29A4.08C,1,2.1074572,2.1376636,2.1455734,1.5099113,1.10061,0.78837,1.6060585,1.513853,2.0968785,2.0437624,2.2622983
0,3837,I9_hsf,HSF,SPAC2E12.02.02,1,1.0690767,0.6658447,0.6058303,0.49891508,0.4660341,0.46320033,0.5660099,0.7763881,0.8000202,1.0923116,1.1038401
1,3790,hsf,HSF,SPAC2E12.02.02,1,2.1852188,0.9512211,1.348855,2.015121,2.8544621,2.0101297,1.3941257,1.6850374,1.8438545,2.2096467,2.337981
1,3882,lsm6,LSM6,SPAC2F3.17C,1,1.3583438,0.76048386,0.95360154,0.9270037,0.8844445,0.37770537,0.7026109,0.7691295,0.7167273,0.7252305,0.6878244
0,2046,C2F3.17,,SPAC2F3.17C,,,,,,,,,,,,
0,4922,tbp1: tdf1,RPT5 TBP1,SPAC3A11.12C SPAC3H5.01C,1,2.4129465,2.676479,3.0879853,3.380023,3.9148157,6.0795493,7.0499997,4.9623113,3.3862507,3.0157616,2.8969498
0,4742,rpt5: tbp1,RPT5 TBP1,SPAC3A11.12C SPAC3H5.01C,1,0.71577257,0.89433944,1.1617017,1.3792982,1.1188203,1.0614741,0.51249605,0.49552143,0.50724804,0.51007366,0.56742346
1,4961,tif34: sum1,TIF34 SUM1,SPAC4D7.05,1,0.5103265,1.0077906,0.8401292,0.7586314,0.7452362,0.76934934,0.5332165,0.40163493,0.35928702,0.37164047,0.43494752
0,3808,I11_tif34: sum1,TIF34 SUM1,SPAC4D7.05,1,1.2588593,1.01549,0.74787,0.70511013,0.6789312,0.5687295,1.0578845,2.335895,3.1358707,3.0646248,2.753866
1,2929,C644.09,,SPAC644.09,1,0.8335645,0.6460102,0.60979885,0.53489506,0.5743565,0.6579107,0.74888206,0.8481803,0.91155267,0.9028533,0.9113331
0,3826,I28_C644.09,,SPAC644.09,1,0.46415374,0.31248158,0.41589,0.39368626,0.4596614,0.6135988,0.33352858,0.37003824,0.40230998,0.33694002,0.38627395
0,3813,I16_prr1,PRR1,SPAC8C9.14,1,1.9521515,0.88795,1.02632,0.96057504,0.83611083,1.102998,1.1618046,1.1306568,1.1296871,1.2760043,1.3831141
1,4458,prr1,PRR1,SPAC8C9.14,1,1.2988732,1.2437041,1.2240815,1.3472844,1.1330969,0.39084372,0.5487943,0.5883825,0.6494291,0.74409103,0.8694113
0,3825,I27_rad24,RAD24,SPAC8E11.02C,1,1.2363515,3.026042,14.8835535,39.283928,17.99492,3.6842241,3.616738,6.049891,6.6041117,5.6603317,5.2858067
1,4503,rad24,RAD24,SPAC8E11.02C,1,0.5415426,1.0013851,1.2889892,1.8544515,0.9851801,0.6716852,0.5836862,0.5395368,0.4544474,0.392399,0.408869
0,4300,PB2B4.05,,SPAPB2B4.01C,1,1.5896485,0.5191244,0.49083194,0.4427892,0.45121837,0.5015967,0.65047425,0.6496065,0.68029594,0.7853136,0.8340875
0,4297,PB2B4.01c,,SPAPB2B4.01C,1,1.188883,0.87988263,1.0011936,1.8472872,2.8151681,4.2565417,3.0978684,1.7028968,1.5435829,1.6129843,1.4131882
1,5019,ubc4,UBC4,SPBC119.02,1,0.7988369,1.4789755,1.494954,1.4052312,1.2798328,1.0379773,0.5414812,0.51554215,0.3985986,0.3740468,0.41069087
0,3817,I2_ubc4,UBC4,SPBC119.02,1,1.9474132,2.6291516,1.8779949,1.33693,0.8540586,0.84935176,1.2465857,1.9840782,2.5008285,2.7348232,2.7161753
0,3827,I29_C14C8.04,,SPBC14C8.04,1,1.1126381,1.0369672,0.9175391,0.65982,0.96167,3.43683,2.2402833,2.6215572,2.5027292,2.0367525,2.0395436
1,604,C14C8.04,,SPBC14C8.04,1,0.41377637,0.48810163,0.37456664,0.2486873,0.2570554,0.36586857,0.5601992,0.5710121,0.4643545,0.4147871,0.42463094
1,616,C14F5.06,,SPBC14F5.06,1,0.46197817,1.376043,0.86191046,0.61013705,0.58699006,0.6511294,0.9307064,0.7794907,0.7593241,0.8197142,0.8459892
0,3811,I14_C14F5.06,,SPBC14F5.06,,,,,,,,,,,,
1,4512,rae1,RAE1,SPBC16A3.05C,1,0.771301,0.6990133,0.74178374,0.9086973,1.0302761,0.9512963,1.1390476,0.9316658,0.78377336,0.7105243,0.6863299
0,3812,I15_rae1,RAE1,SPBC16A3.05C,1,1.77893,1.6238533,1.30726,1.40125,1.36143,1.43002,1.8538656,1.8198923,1.8391058,2.0640194,1.9752455
0,4454,prp43,PRP43,SPBC16H5.10C,,,,,,,,,,,,
0,4455,prp43.A,PRP43,SPBC16H5.10C,1,0.4342586,1.1067249,0.8201717,0.376056,0.112007715,0.09039308,0.5637831,1.0194838,1.21746,1.2624754,1.1985258
