,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.15c,-1.6552219226770755,-1.2774768263981242,-0.7564091688023463,0.2845558223685856,1.0945785794977898,1.3540322389369137,0.9400130063174451,0.18791960486616502,-0.015525149128455873,-0.15646618498089787,-1.0357847312457305,-0.4039175453146364,0.16466300008132526,0.37587735877965783,-0.20775928999534382,2.181435592736416,0.7860920426708835,0.19563357098284515,-1.1365245358444844,-0.9197154628509328
SPAC1002.17c,1.7624809126781882,1.2025076337639962,0.7599010991008023,0.3204194402936363,-0.003929449407298053,-0.34777207507013325,-0.6449621737398832,-0.7884383951012318,-0.9647581979564186,-1.2954487945616586,0.5904659089601901,-1.696335686980155,-1.255582694480632,-0.7723255613267349,-0.12969581872077263,1.1983316789957248,1.0071764705835005,0.9714206661758338,0.3483898552767989,-0.26184481848375346
SPAC1002.18,2.126709726483492,1.3457663532748436,0.45952554599887596,-0.172553976562769,-0.5017503754935014,-0.6810065387851832,-0.537089529054642,-0.5534964183225778,-0.6706661134529611,-0.8154386740855775,1.1924678126901163,-0.749777298065735,-0.3986098791721925,-0.003914803030573843,0.7056983562488203,2.061741719262895,-0.5810014535823519,-0.5075202906096123,-0.7265090876042088,-0.9925750761371566
SPAC1002.19,1.70358849385838,1.3232779610669076,0.8372201277021191,0.39191419739930766,-0.14737922574615586,-0.6183512201078858,-0.8058263322440269,-0.8145195051071777,-0.8187692633376588,-1.05115523348381,1.112443480444272,-1.5622214723570533,-1.0428367333607773,-1.090151605627833,-0.6685554786737926,0.3200994058384952,0.8398441103684989,0.9942098156407114,0.8655100339994166,0.23165844372806627
SPAC1006.01,-0.5556344585482409,-1.4661457503337438,-1.3132938583432234,-0.8578363262072201,-0.05165082667710031,0.8868177734232718,1.3108402957065284,0.6554145847899611,0.3991311331404904,0.9923574330492768,0.4255504776499479,-1.8413519086242438,-1.0090747923586232,-0.7779854080163443,-0.5844367617119504,1.0372148718632344,1.2846317944847885,0.6047590155947327,0.4074618276785289,0.4532308834399295
SPAC1006.03c,0.4120571631091505,0.6061404148638712,0.8611058883499556,1.0352952272151068,0.9904121888051538,0.5662167138292724,-0.6774293251983252,-1.3379323831258947,-1.4320570245666304,-1.02380886328166,0.5665633887511687,0.7501941669696887,0.9572065088609998,0.8675084711126809,0.9978447339155497,-1.1630585690261286,-1.752541009939665,-0.9253976756783446,-0.40089575880701406,0.10257574384106366
SPAC1006.04c,-1.6951978835592414,-1.554884389132845,-0.6706439397377094,0.3487324344868859,1.062882063219881,1.2160685052930775,0.5634481619024134,0.35613550025879587,0.27239725561561634,0.10106229165312605,-1.4411464984360254,-0.5072241981882384,0.18829848038426478,0.7900913778729374,0.934125986171016,1.9169201156414915,-0.13749735753911563,-0.18610352619806522,-0.4684436957884352,-1.0890206839198322
SPAC1006.05c,1.3317435806650584,0.2911088177359504,-0.8404444045952824,-0.5826222307433051,0.08349309996569634,0.5395383737003199,-0.6489683995023676,-1.5481474073748331,-0.3217059616568699,1.6960045318056323,-0.2645577235325156,-1.5245288760884397,-1.117868501313684,-0.8126559832623302,-0.17935400656788872,1.8119686713519574,0.9514750147799202,0.43426764423748504,0.4931248610274379,0.20812889936805742
SPAC1006.06,-1.2215574525452197,-1.1981608655810685,-0.9158828690618693,-0.2739475365019916,0.7244706347813648,1.6100103577167306,1.305682876325607,0.4476220901052352,-0.13471684693382024,-0.34352038830496817,-0.8863905710052922,-1.301429460474548,-0.9788361645476511,-0.20321048012120374,0.6247928537026233,2.1376873936721177,0.6363143650181097,0.2279326806676114,0.06033794811412833,-0.31719856502589494
SPAC1006.09,1.4320860690765336,0.9072091197842448,0.46134853273151316,0.3662987738050129,0.40054327533467354,0.4138196716534691,-0.4651175660508004,-0.4526421249004277,-1.9401395481333987,-1.1234062033008205,2.4271285152814848,-1.4382072457485315,-0.2521325317742791,0.23177344512682274,0.042959287494019095,0.08216464581635381,-0.006923925291738311,-0.8340941789007222,-0.4321437618733422,0.1794757498699329
