,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.15c,-0.47327934653080755,-0.3574753017237838,-0.19773334090914987,0.12139179841782449,0.3697177531034902,0.4492575896202476,0.3223331047294397,0.09176635795051119,0.02939698336583364,-0.013810836382941219,-0.10466584138754714,-0.012292623627805432,0.07082866467967353,0.10170627691281285,0.016383923655275058,0.3656624177549968,0.16167592111500453,0.0753562795862998,-0.11939308172297,-0.08769757330309597
SPAC1002.17c,1.7890164307598369,1.3514357626487385,1.0055691464348309,0.6621444061395317,0.4086880195568849,0.13999861681544903,-0.09223503937627775,-0.20435185488413926,-0.34213367419557916,-0.6005456692842815,1.679235870677825,-2.5205970708370695,-1.7111307226165169,-0.8236032560252557,0.3566204970913501,2.795613736403765,2.4445470139312016,2.378879574539752,1.2346503034750127,0.1139218198741906
SPAC1002.18,0.7956029464811432,0.5368713376694341,0.24325400544343143,0.0338419566576383,-0.07522294719117555,-0.1346116776791669,-0.08693103815985972,-0.0923667470748958,-0.13118582764472603,-0.17914991673145153,1.0087095364677579,-0.18745505058666403,0.02881735925572283,0.27189701493400165,0.7089243123318529,1.544066612531222,-0.08351158474745202,-0.03825696447485429,-0.1731249286035661,-0.3369861794520161
SPAC1002.19,2.0245394722630548,1.643272237426382,1.155991686089907,0.7095655525386252,0.16891549297002778,-0.3032412697096624,-0.49118799072260305,-0.4999030319684054,-0.504163480811005,-0.7371340367462555,3.993368311302771,-0.23685846211976672,0.584595913430323,0.5097631239119442,1.176555883111307,2.7402038300283817,3.5622275239286783,3.806370977730935,3.602820525005098,2.600326375323282
SPAC1006.01,-0.46012220557965855,-1.2445012824722705,-1.1128238095815135,-0.7204603519904942,-0.025954920118690616,0.782508567243358,1.1477916753287103,0.5831614299505647,0.36238066749185943,0.8734279238069318,1.341179319993686,-1.2814511781717557,-0.3185710112710059,-0.05121849055905762,0.17270230362689126,2.0488276530752954,2.3350698710721676,1.548509719393064,1.3202521528721878,1.37320340575316
SPAC1006.03c,0.11609964207637749,0.26722873649587664,0.4657657084798774,0.601403775145675,0.5664541703324569,0.23614087740096135,-0.7322636498179431,-1.2465853550831458,-1.319878499622355,-1.001983089505276,0.9002591400137749,0.9537435123261415,1.014038008022251,0.9879125224519026,1.0258743133519863,0.39648877184966747,0.22479588546488127,0.46570997663471886,0.6184766101623165,0.765117917014768
SPAC1006.04c,-2.541178702827178,-2.357573508598095,-1.2005134544664569,0.1333767600647221,1.067866930295148,1.2683168340274316,0.4143399204316438,0.14306393473383572,0.03348946554278778,-0.19070842408405594,1.2966378908136307,2.4750442741445466,3.3526422969819896,4.111973765623125,4.293714047222559,5.533786026830375,2.9415589606383827,2.88022857008901,2.5239768154968445,1.7409439186827445
SPAC1006.05c,0.09194974864946764,-0.024395557203032103,-0.15090575120226668,-0.12208065257887182,-0.04760746117189078,0.0033794256258322265,-0.12949830339296495,-0.2300285378362247,-0.09290962715270852,0.13267494184912984,0.1614516163085078,-1.1627531001380742,-0.7353611037607883,-0.4145887947263549,0.25099903462396855,2.343839713332649,1.4394779299746912,0.8959032314080675,0.9577610000657631,0.6582358912313129
SPAC1006.06,-1.2243386101821658,-1.2029068773285327,-0.944334692371483,-0.3563093287656155,0.5582613116420593,1.3694330779475643,1.0906631320923386,0.3046626111347126,-0.22877128450197004,-0.42003942649275133,0.09929251085560452,-0.4331193965999625,-0.01929670100521625,0.9756759644360642,2.037838681053895,3.9785798699923776,2.052618476325835,1.5287464319181217,1.3137559009044846,0.8294520436152436
SPAC1006.09,0.4945870561297492,0.2819668962624468,0.10135513682911285,0.06285183626399896,0.07672379501476875,0.08210187365123794,-0.2739430550620232,-0.2688894319311468,-0.87145340498509,-0.5406063853523866,0.9585998738237361,-0.24578172155593106,0.12378166040370915,0.27455962343339474,0.21572791761038845,0.22794372884203745,0.2001850444651162,-0.05754900279051516,0.06769281692502684,0.2582644331725134
