,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10
SPAC1006.09,4.950666061113235,4.433044914222932,6.621891575229676,2.919647652497906,5.430824352264305,4.837793008878838
SPAC1039.02,10.528997892626473,7.3353351230267005,7.681821606703208,2.449866785555747,6.993849693201293,4.981196753446256
SPAC1039.06,8.359621269996273,4.159776106425148,5.700203616922907,3.8753745005094684,4.659844755182724,3.823191076371537
SPAC1039.10,9.75065162476135,3.832242033832613,2.1021390781749156,1.9803573179452318,3.038013392643869,0.7251754837066002
SPAC1039.11c,5.1598259029285805,4.989072634785162,9.408054007366392,13.214327111475574,10.183584627690367,7.139639143957725
SPAC105.02c,7.51194500945387,9.285026976523167,11.42632054517363,9.55410404835505,8.794059712683598,8.128462865244883
SPAC1071.01c,4.549698816711766,4.352731537864515,6.27235995795807,5.636529087542963,4.4734382935300445,4.054398515142975
SPAC1071.02,5.146028626682992,5.713239788538482,4.6437539321624,4.451629152786711,5.833908845950486,2.763476967778231
SPAC1071.04c,5.800812838034489,6.6183413245382505,8.099031088536462,5.574429383341053,4.820926703021934,2.978614305260207
SPAC1071.05,5.485590308001745,5.438711368103218,6.275721920157534,3.3976398882665295,5.002594524231959,5.076738719028242
SPAC1071.06,5.76576970824915,6.338250490699528,7.286219485620072,3.490207816917777,6.976268607957697,3.7678999599519254
SPAC1071.07c,9.311347806384498,9.758599195529392,8.742018996173847,6.245749210205566,8.102308490008676,9.159964564707307
SPAC1071.08,9.258994743323733,12.207491781178692,11.010217035082723,5.012614963511278,9.20529322884246,9.56319904506359
SPAC1071.10c,10.34703499264733,10.685920256726872,9.69595588273707,5.463401906216757,6.203575802214419,5.113130303674485
SPAC1071.11,5.6471138600570585,5.817980558065447,5.421078377537264,5.227821633303153,6.8740293182507095,2.6644991388318817
SPAC1071.12c,7.708691585563711,6.156939979861118,8.515522581450647,5.538976588272608,5.397315362280792,5.107228755767601
SPAC1093.02,5.253350823445041,7.434683430765905,8.752110293366657,3.765783620100517,7.956650036368706,5.710772022538571
SPAC1093.04c,5.259790166920721,4.700901502524093,8.568635495213611,5.837777777251766,5.640923430300866,3.633619640663731
SPAC1093.05,4.131980538193469,7.5692252665308475,6.023188183837641,5.9559393276113335,6.44614199077944,2.6030366059607384
SPAC1093.06c,5.094627215423699,5.979273724435396,3.5123419771301627,1.5272510173393354,-1.228111610354156,-2.0661018652249807
SPAC10F6.01c,6.177470493488931,9.107069699339363,8.205360457035935,7.596310508665139,7.793756508241627,5.97832639650043
SPAC10F6.02c,4.930647832628151,3.8332892971783705,6.575769070859978,1.7945412216881098,4.185868230208919,4.263901638489363
SPAC10F6.03c,6.722814575087825,8.111305967275289,6.763054129204494,6.515897908860749,7.778470426423186,4.816539677943046
SPAC10F6.05c,8.000707318511111,6.707043005870936,9.974951850680709,9.854649153225465,8.317775067605307,5.942233007341778
SPAC10F6.06,11.716342659757128,10.27491437983145,12.362968748341395,9.526679767929261,11.267859382728819,11.668315750708443
SPAC10F6.08c,5.937445143616791,4.4517734025987385,7.2013863692586355,5.683225138354288,3.895571962099383,4.362508635915971
SPAC10F6.09c,3.992159540815576,7.617510396274624,9.682860576134575,2.27966344962111,6.543627028267167,3.601797001503471
SPAC10F6.10,4.84783992163051,6.375551908750845,5.867341819981187,4.33665821222985,3.608869152608225,2.7639275161431898
SPAC10F6.11c,5.897251277485255,5.040637210113648,5.436750535982673,7.183673709584972,7.068884293490409,4.313185932744956
SPAC10F6.12c,6.580887091170789,4.0942644649645805,5.859115806975582,4.096857147503128,2.5881799997307424,3.776140650774548
SPAC10F6.13c,9.30762235032298,6.489934088257506,9.605012454130495,6.354565184839174,7.842393978600542,7.2182622055365995
SPAC10F6.14c,5.343465235950783,5.021963915705235,6.482757972680379,2.972267206188697,4.295270191696546,4.66104854051343
SPAC10F6.16,8.756781733280642,7.949676221159513,11.318053144325185,8.237566952780673,9.078715238602786,8.691643691791393
SPAC10F6.17c,6.505862087523311,6.929266847371503,7.075362970609852,8.46413407545724,7.877238057123603,5.4417623797607915
SPAC110.02,3.2372792557250927,5.36965238829668,8.040982259604277,0.06280832348877408,4.179984157356202,2.6892956662606853
SPAC110.03,9.971218515540336,10.31597552666254,10.02985251120323,12.214533930939231,12.866038291461741,9.948667519930963
SPAC110.04c,8.066708856721629,12.059953005081713,10.594863034013246,11.361766031289873,9.142643332203923,6.076907986679871
SPAC1142.01,5.274628310325483,6.764980555298269,6.2549773734076055,6.049017217980345,6.535186609105461,3.3365447621944773
SPAC1142.02c,9.085498995260636,7.803768571084392,10.79701580119352,7.755834906889735,8.191661243799324,6.722362875620665
SPAC1142.04,5.12252111952328,6.663430723166321,6.400445068423799,3.3077164093751072,4.893753827640184,4.8070199862837235
SPAC1142.06,6.571782689278627,8.141878556344146,10.987366993932875,8.632940128998321,9.044255852787847,7.438911158319299
SPAC1142.07c,8.593294071446776,7.87334815776691,7.855190874799013,9.618385743772171,8.586148960631363,5.70155841160397
SPAC1142.08,5.7163579110218254,3.9647782466113624,7.829173100048936,8.05069705950278,5.037174883362352,5.435933923760049
SPAC11D3.01c,5.856567232412087,7.83405295695619,5.450825716170421,10.594872300874302,15.760026655998706,13.359824664638495
SPAC11D3.02c,5.756112176455431,7.363057604588104,7.604889782801279,2.2149891614092194,3.9785647376051982,5.036220812303836
SPAC11D3.03c,6.924210263125697,1.2594898265522776,2.5911225134111637,3.2216089006675404,1.0402948773471672,2.1852995792885546
SPAC11D3.04c,8.454677765155065,8.28000148958985,10.388573076511978,8.773021571415978,8.35782163395743,6.295298348389336
SPAC11D3.15,6.132717147743059,0.7161703189320605,3.893196693186599,4.609392927307082,5.070305243313427,7.348781952045768
SPAC11E3.01c,2.0738526563732957,2.160885665746526,4.5011915445777415,0.5020165848094258,3.2967069684503576,3.9479002389146016
SPAC11E3.02c,4.405112114755142,3.602130318563359,6.1750266207351965,5.119224637054555,3.462432344385794,3.9577781532115086
SPAC11E3.03,3.607597881846465,4.02308178307332,6.947471339818829,2.6804371159222766,4.3825753515275485,3.89188679867507
SPAC11E3.04c,7.414390040637989,8.64286155100775,11.256146089666306,9.08339497741918,8.921448820774367,7.370958143893133
SPAC11E3.05,3.4275192081730776,2.8669777923229045,5.437558339210887,5.09895413791221,3.7694374771058556,4.016164592620456
SPAC11E3.07,8.271306513973009,9.42445093383743,10.004047095912002,7.082326492975817,8.010404507412279,6.605396971288586
SPAC11E3.11c,5.8700212039588235,4.32761315159761,6.06299358718926,3.3764373684251954,2.6790075668314874,0.261740860605861
SPAC11E3.13c,7.059761421047142,6.379046537004924,7.516826909087546,6.006798478937928,4.426338889192956,5.150002108149199
SPAC11E3.14,6.407023693659163,6.304062348343466,6.85896071678725,6.3154372584141605,5.0366554065807305,4.681257899567867
SPAC11E3.15,9.315210958270903,12.242798054509668,12.910583892544789,8.881065624488356,10.963640566470835,10.317756618119112
SPAC11G7.01,4.682721540479943,8.80593705275691,10.402785591368652,6.193247059059022,8.813659498239298,4.988474406923355
SPAC11G7.02,6.858016027996634,6.827789391141122,8.972794093891915,8.539767614141244,6.835105823371097,6.642506872717105
