,prot,prot,prot,prot,prot,prot,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10,h0,h1,h3,h5,h7,h10
SPAC1006.06,-1.2243386101821658,-1.2029068773285327,-0.3563093287656155,1.3694330779475643,0.3046626111347126,-0.42003942649275133,3.8572256543373067,4.642723524426113,7.148957715719138,8.887775811675342,5.332259829785562,2.234087044194613
SPAC1006.07,-0.12002547062546205,-0.050812349096052034,0.015693527009359564,-0.025111647483077263,0.09221197753230691,0.137780215094717,9.978059671940994,13.685607090868926,11.854405797920807,12.524593871435384,11.470414413713707,10.094787228308926
SPAC1006.09,0.4945870561297492,0.2819668962624468,0.06285183626399896,0.08210187365123794,-0.2688894319311468,-0.5406063853523866,4.950666061113235,4.433044914222932,6.621891575229676,2.919647652497906,5.430824352264305,4.837793008878838
SPAC1039.02,0.871438721317151,0.5775396869393912,-0.02334319655633442,-0.2109835110084772,-0.06035622938331562,-0.27864627630885386,10.528997892626473,7.3353351230267005,7.681821606703208,2.449866785555747,6.993849693201293,4.981196753446256
SPAC1039.06,0.8220949049704942,0.6432642680698913,0.1141266509044915,-0.14735649519104063,-0.09392381510156228,-0.08745311248219133,8.359621269996273,4.159776106425148,5.700203616922907,3.8753745005094684,4.659844755182724,3.823191076371537
SPAC1039.10,1.547618780779691,1.2954643057322768,0.6468552654441633,0.27658234882865185,0.34136753224244554,0.354801006868486,9.75065162476135,3.832242033832613,2.1021390781749156,1.9803573179452318,3.038013392643869,0.7251754837066002
SPAC1039.11c,-2.679579484359276,-4.659926812071403,-2.9991720824487125,0.3754347413803187,2.064629719463105,1.6341172559860133,5.1598259029285805,4.989072634785162,9.408054007366392,13.214327111475574,10.183584627690367,7.139639143957725
SPAC105.02c,-0.5491355133181924,-0.6799858594757471,-0.34882443898959675,0.33910827204311245,0.6692496759758203,0.5891903707150512,7.51194500945387,9.285026976523167,11.42632054517363,9.55410404835505,8.794059712683598,8.128462865244883
SPAC1071.01c,0.08898194557087226,0.04157444971814599,-0.07101572277496768,-0.06353840059951466,-0.24141968917779785,-0.07653921773890683,4.549698816711766,4.352731537864515,6.27235995795807,5.636529087542963,4.4734382935300445,4.054398515142975
SPAC1071.02,0.08912178589614077,0.1385376457274956,-0.07181482496915711,-0.23217407805060522,-0.202857049446915,-0.10538290263913376,5.146028626682992,5.713239788538482,4.6437539321624,4.451629152786711,5.833908845950486,2.763476967778231
