,ribo,ribo,ribo,ribo,ribo
,d1,d3,d5,d7,d10
SPAC1071.06,0.5724807824503779,0.9479689949205445,-3.7960116687022953,3.48606079103992,-3.2083686480057714
SPAC1071.07c,0.4472513891448937,-1.0165801993555448,-2.4962697859682814,1.8565592798031103,1.057656074698631
SPAC1071.08,2.9484970378549598,-1.1972747460959692,-5.997602071571445,4.192678265331183,0.3579058162211286
SPAC1071.10c,0.33888526407954167,-0.9899643739898014,-4.232553976520314,0.7401738959976623,-1.0904454985399346
SPAC1071.11,0.17086669800838816,-0.3969021805281825,-0.19325674423411154,1.6462076849475569,-4.209530179418827
SPAC1071.12c,-1.5517516057025933,2.3585826015895286,-2.9765459931780383,-0.1416612259918164,-0.2900866065131913
SPAC1093.02,2.181332607320864,1.317426862600752,-4.98632667326614,4.1908664162681895,-2.2458780138301346
SPAC1093.04c,-0.5588886643966289,3.8677339926895185,-2.730857717961845,-0.1968543469509001,-2.007303789637135
SPAC1093.05,3.4372447283373786,-1.5460370826932062,-0.06724885622630783,0.49020266316810623,-3.8431053848187013
SPAC1093.06c,0.8846465090116968,-2.4669317473052335,-1.9850909597908273,-2.7553626276934917,-0.8379902548708247
SPAC10F6.01c,2.9295992058504314,-0.9017092423034274,-0.6090499483707958,0.19744599957648745,-1.8154301117411968
SPAC10F6.02c,-1.0973585354497803,2.742479773681607,-4.781227849171868,2.391327008520809,0.07803340828044458
SPAC10F6.03c,1.388491392187464,-1.3482518380707953,-0.24715622034374451,1.262572517562437,-2.96193074848014
SPAC10F6.05c,-1.2936643126401748,3.2679088448097726,-0.12030269745524436,-1.5368740856201573,-2.3755420602635295
SPAC10F6.06,-1.4414282799256775,2.088054368509944,-2.8362889804121334,1.7411796147995577,0.4004563679796238
SPAC10F6.08c,-1.4856717410180522,2.749612966659897,-1.5181612309043473,-1.787653176254905,0.46693667381658743
SPAC10F6.09c,3.625350855459048,2.0653501798599505,-7.403197126513465,4.263963578646058,-2.941830026763696
SPAC10F6.10,1.5277119871203348,-0.5082100887696583,-1.530683607751337,-0.7277890596216245,-0.8449416364650353
SPAC10F6.11c,-0.8566140673716074,0.3961133258690257,1.7469231736022985,-0.11478941609456328,-2.755698360745453
SPAC10F6.12c,-2.4866226262062083,1.764851342011002,-1.7622586594724545,-1.5086771477723855,1.1879606510438054
SPAC10F6.13c,-2.8176882620654737,3.1150783658729893,-3.250447269291321,1.4878287937613681,-0.6241317730639429
SPAC10F6.14c,-0.3215013202455479,1.4607940569751445,-3.510490766491682,1.323002985507849,0.36577834881688354
SPAC10F6.16,-0.8071055121211286,3.3683769231656724,-3.0804861915445123,0.8411482858221131,-0.3870715468113932
SPAC10F6.17c,0.42340475984819204,0.1460961232383493,1.3887711048473879,-0.5868960183336371,-2.4354756773628115
SPAC110.02,2.132373132571587,2.6713298713075977,-7.978173936115503,4.117175833867428,-1.4906884910955167
SPAC110.03,0.34475701112220314,-0.2861230154593084,2.184681419736,0.6515043605225106,-2.917370771530779
SPAC110.04c,3.993244148360084,-1.4650899710684673,0.7669029972766275,-2.2191226990859505,-3.0657353455240512
SPAC1142.01,1.4903522449727857,-0.5100031818906636,-0.20596015542726054,0.4861693911251157,-3.1986418469109834
SPAC1142.02c,-1.281730424176244,2.9932472301091284,-3.0411808943037855,0.4358263369095887,-1.4692983681786584
SPAC1142.04,1.5409096036430405,-0.262985654742522,-3.0927286590486913,1.586037418265077,-0.08673384135646067
SPAC1142.06,1.5700958670655192,2.8454884375887293,-2.3544268649345543,0.4113157237895262,-1.605344694468548
SPAC1142.07c,-0.719945913679866,-0.01815728296789665,1.7631948689731578,-1.0322367831408084,-2.8845905490273926
