,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC1071.01c,1.2453865090123528,0.8314767880044563,-0.15153583577190902,-0.08625214424045817,-1.6393144438541645,-0.19976087315027755
SPAC1071.02,1.0155706351443001,1.3431152141155451,-0.051170176951932725,-1.1140840716804978,-0.9197611594928868,-0.273670441134528
SPAC1071.04c,-0.5455903939242414,-1.2664405507710985,-0.40568018156136904,1.230942360943707,1.175955862299543,-0.18918709698654151
SPAC1071.05,-0.28628035086953396,-1.1129693518446024,-0.4222806079655482,1.6305485382244114,0.7374006604506276,-0.5464188879953554
SPAC1071.06,-0.20584156246163113,-0.5344221110219995,1.9275672760847997,-0.05773920776447074,-0.9617802940299719,-0.16778410080672715
SPAC1071.07c,0.6535300032017682,0.7955995405340539,1.0955393025069562,-0.6329282545665744,-0.45003468898556936,-1.4617059026906343
SPAC1071.08,-0.6450184058895485,0.1847688930873555,1.143694747695672,0.10102292513917357,0.8168716345198619,-1.6013397945525136
SPAC1071.10c,1.4305978227466407,0.9568173868547154,-0.42405583362010435,-1.2716952300061235,-0.31703446628349036,-0.37462967969163796
SPAC1071.11,1.840781914058927,0.23515933859987762,0.001896929029960051,-0.94691468354499,-0.6656541508873246,-0.46526934725645025
SPAC1071.12c,0.40955236302234843,0.6233216542344798,0.9849421785335339,-0.056320463905082004,-0.10133865104486312,-1.860157080840417
SPAC1093.02,1.4166049591870224,1.0816812654412105,-0.18867119744518734,-0.8345443520342993,-0.6974218423352507,-0.7776488328134952
SPAC1093.04c,-1.4302543154599425,-1.0260072388244086,0.07622109058937915,0.7339180326257592,0.7885874814054291,0.8575349496637832
SPAC1093.05,-0.07484428586849723,1.336694740723719,0.8109327040404618,0.17125253379477523,-1.0842148891427528,-1.159820803547706
SPAC1093.06c,-1.1230361310645367,-0.7721421738181963,0.35360344469636945,1.0166654658961967,1.2232297254375561,-0.6983203311473895
SPAC10F6.01c,1.358563882294596,1.1316756700250281,-0.19166272569308138,-0.983246269386462,-0.7079608624758394,-0.6073696947642417
SPAC10F6.02c,0.42887313623068274,-0.08218263448331531,1.760587604277381,-0.38221067962134453,-1.0569962016644259,-0.6680712247389785
SPAC10F6.03c,-1.4806883844448229,1.2961072140858971,0.8999514160718894,-0.550094181284533,-0.05530902331067577,-0.10996704111775545
SPAC10F6.05c,-1.3906937506605197,-0.5261199743269313,0.367436578041835,1.2587214422703097,0.8621050098432873,-0.5714493051679812
SPAC10F6.06,-0.8704127301263095,-1.128194778714031,-0.6768905209463569,0.6073681067390775,1.0782279368716277,0.9899019861759921
SPAC10F6.08c,0.10899178877559078,0.3215195293746396,1.0635986324377524,0.9011991845192132,-1.3881683921761998,-1.0071407429309962
