,prot,prot,prot,prot,prot,prot
,h0,h1,h3,h5,h7,h10
SPAC1142.02c,-0.14294008770922065,-0.04674879412672799,0.08675441821033218,0.16275963723388212,0.23819017486510938,-0.015977694850139713
SPAC1142.04,0.13518607748185232,0.5558773184887098,0.5470722163996464,0.3344979793007326,-0.0026717719587975733,0.055033025234431925
SPAC1142.06,-0.32635163358939184,-0.3380464531221813,-0.15739413333103972,0.10703643802474327,0.16028123217147583,0.12568815438157577
SPAC1142.07c,-0.6828772489278156,-0.6023039034316302,-0.3366019206517679,0.3537891241895354,0.44225847086798087,-0.043760831133007196
SPAC1142.08,-0.8489018363512886,-0.5165242888908652,0.2024421709605686,0.7682049410299576,-0.2542924728451328,-0.27823122550511714
SPAC11D3.01c,-1.260257269830706,-1.0384649565059902,-1.8866664882316226,-1.086628457219714,2.245008069567415,4.260861880195866
SPAC11D3.02c,0.2352820719870043,0.0707161155916106,-0.45801269331396954,-0.8147427346657861,-0.8954052438128713,-1.1395778152814668
SPAC11D3.03c,2.6536984694294956,2.5360175505706826,1.9558142064310933,1.8138086142130878,1.7991458513463692,1.6193329912777372
SPAC11D3.04c,-0.8362776121121506,-0.7229672950718258,-0.42920790004637144,-0.06714747675015909,0.22338431747820578,0.3501207004305657
SPAC11D3.15,1.1349696556736828,0.8766145257517617,0.308785350148289,-0.06021778840551559,-0.022941437512065815,0.31829789846084205
SPAC11E3.01c,0.0021708682944284467,-0.18402232674968935,0.033568541099203215,0.2601974703663507,0.1715952142862083,0.33141658462919305
SPAC11E3.02c,0.06867498822937702,-0.05276236912697561,0.0907517279835344,0.17862201806024391,-0.1461681185285647,-0.1198549278663936
SPAC11E3.03,-0.7973960772881312,-0.5538357704832395,-0.004242077445858659,0.4704242239734801,0.4386726651604278,0.20441856868966835
SPAC11E3.04c,-0.4388064915463563,-0.46722995104463527,-0.2212652769137814,0.12388649406994943,0.1580786536389898,0.09508779501020614
SPAC11E3.05,-0.30556572296524054,-0.27274512302695436,-0.05324195705198208,-0.15046167012098965,-0.8313962838265537,-0.5452724022301557
SPAC11E3.07,0.10327701568170354,0.02296861295092315,-0.15633941071998697,-0.30556444545384354,-0.1231789897879402,-0.18527873935490874
SPAC11E3.11c,0.6395704903915594,0.6112231861613361,0.4963024963201483,-0.7463177001632502,-0.9689166530726323,-1.5109927688748972
SPAC11E3.13c,0.2761147623288208,0.11128129947438213,-0.3106956985050545,-0.4178661280260645,-0.2754364078474834,-0.5632416869012483
SPAC11E3.14,0.20204874243578874,0.38159773748476644,0.10506839150953759,-0.048034558353812914,-0.09908833549775382,-0.3241647381658503
SPAC11E3.15,0.11249969251641992,0.16111344759560575,0.14165227503318636,0.0015674592221512037,-0.04052212717750223,-0.08440231889157637
SPAC11G7.01,-0.8047976558776468,-0.5736719223211246,-0.008950071227040982,-0.37938567589832173,0.21406613125703003,0.041932716838776224
SPAC11G7.02,-0.35183780025234807,-0.26905880402431287,-0.0749760421334917,-0.04541536118876486,-0.001845225371618382,0.06261701009998272
SPAC11G7.03,-0.42671846404158753,-0.5886291949746248,-0.370260073567023,0.40182441542846725,0.4397048267682868,0.46737695167322557
SPAC11H11.01,-0.21933280588068696,-0.1802909168312922,0.04543091526215331,-0.12340944520867787,-0.015300175194960268,-0.1718681530777634
SPAC11H11.06,0.1811887510197039,-0.014232612094484568,-0.09339570140299483,-0.154785589915774,-0.004788034672604488,0.06826824226828893
SPAC1250.01,0.2727618408866477,0.24916794765942984,0.050384649516849254,-0.058105098850223566,-0.2747322686047161,-0.07652815578279515
SPAC1250.03,0.05376266401622696,-0.15344510398754338,0.06633162224158937,0.722173934323054,0.8202194233820143,0.6231002209739098
SPAC1250.05,-0.29368810992296634,0.06642020404272896,0.18538008267225672,0.017801836702189447,0.0026875322530915753,-0.07883438457039893
SPAC1296.01c,-0.28748907340139745,-0.24159248536656538,-0.13617886911905716,-0.25603564450594934,-0.23753447513596218,-0.24124925175710324
SPAC1296.02,-0.13226008466372194,-0.08478145268244915,0.08294694746197268,0.3003662726593301,0.3063023804223664,0.01726850715682877
SPAC1296.03c,-3.4205225947346025,-5.031851127221149,-4.879804657246846,-3.4758939839352267,-3.823597964703346,-1.8273377519897844
SPAC1296.05c,0.32235581309244865,-0.008512121192121596,-0.12482438472698068,-0.1135759950844654,-0.4540546765824183,-0.2416254088782681
SPAC1296.06,0.026053209983376634,-0.04894910934416921,0.010187946211306824,0.03322778802685505,0.04877247676510232,0.027833648185499504
SPAC12B10.01c,-0.2910011788415402,-0.41709297964480885,-0.19259592285468308,0.6433769441475732,0.4186015643198709,0.1777195376987176
SPAC12B10.02c,-0.21489304831671366,-0.18088424824755647,-0.11864098689403099,-0.17213286758230426,-0.07515386693554257,-0.2997478310624132
SPAC12B10.03,-0.07740977719933055,-0.14859917639352344,-0.1582971470420073,-0.061384972975009826,-0.048969746180713036,-0.01660604917006271
SPAC12B10.04,0.2824212330312716,0.35707617223211974,0.06699774611043596,-0.3067587060917743,-0.2371327321508663,-0.26790995459304007
SPAC12B10.07,0.24840185584521765,0.0637748640076195,-0.075233417412487,-0.25132192827935473,-0.07518911376837106,-0.03456058496271041
SPAC12B10.10,-0.2837041964899809,-0.27684717355839716,-0.15468425355852963,0.1967899098281144,0.3753623664674982,0.010775677192426841
SPAC12B10.13,-0.9048525926286993,-0.9569832126034374,-0.3936059663045748,0.43264044740757696,0.6440322455280532,0.5372998180976016
SPAC12B10.16c,-1.2361406412732001,-1.310110434594006,-0.4531780183825068,0.2240445778586561,0.4912963881480728,0.18065401435842302
SPAC12G12.01c,-0.4840406521302608,-0.5377683479194877,-0.17404712622059584,0.1088337780469228,0.12310200014396537,0.15622312938085522
SPAC12G12.02,0.8946022884564873,0.894980876429236,0.251140706717084,-0.12944246537588844,-0.747839815616838,-0.5639228028828607
SPAC12G12.03,0.6177985768424836,0.40484143997921945,0.10159945394931132,-0.16763311672734174,-0.18025019680996796,-0.4252926138072494
SPAC12G12.04,-0.2296592515296182,-0.1770198627713866,-0.17909648954555088,-0.2290250374180073,-0.19421803128536547,-0.11514765943334726
SPAC12G12.05c,0.1399395349420404,0.11841583749236383,0.16124953617872917,0.27386582535129234,0.17561594208700815,0.02570620477360931
SPAC12G12.06c,0.29445490124001644,0.13994679775230245,-0.21743953998662385,-0.2710205820755268,0.07053383471012575,0.2974491140141472
SPAC12G12.07c,-0.5040089088510098,-0.4578114001742353,-0.051222308517489115,0.3546305944791344,0.46395563646071797,0.49719864854247603
SPAC12G12.08,0.20583184697300902,0.15251411370893447,-0.027185953116456617,-0.14275342444138184,-0.19152947962272102,0.031035499796703225
SPAC12G12.09,0.1150836632644201,-0.030027683178423352,-0.12219739099252763,0.08973882231017791,0.1321948260298219,0.2604901152902164
SPAC12G12.11c,-0.3380819779280292,-0.4080953254962506,-0.20829906775060297,0.023134379779077948,0.08567273836015929,-0.06350915009899773
SPAC12G12.12,-0.29248263247659484,-0.21502535685230795,0.27368425754290204,0.24494073066148775,0.2144266668233527,0.6074525802539417
SPAC12G12.13c,0.5495429576320938,0.46669321262712693,0.21188439541917448,-0.034169695021845435,-0.35690219305042553,-0.22307054785216218
SPAC12G12.14c,-0.06258290516568338,-0.020157083541247164,0.26981960036884856,0.18388717707133445,-0.35876677325838685,-0.14944820834034658
SPAC12G12.15,-0.14085176466848892,-0.329971457292927,-0.1091378408918384,-0.009165038133333253,0.48696306850582316,0.06901099537511075
SPAC1327.01c,0.4322929685290348,0.3062504586869799,0.2361348352309453,-0.14718366938955532,-0.4581015505978985,-0.15813351880917792
SPAC139.01c,-0.38960040716875244,-0.3576812130728195,-0.14554188403606078,0.374869853326984,0.49724059741585463,0.5574109117915358
